verse,wordform,lemma,pos,book,chapter,word_order,person,tense,voice,mood,case,number,gender,degree
1,o(/rasis,o(/rasis,noun,Obadiah,1,1,,,,,nominative,singular,feminine,
1,ta/de,o(/·de,determiner,Obadiah,1,2,,,,,nominative,plural,neuter,
1,le/gei,le/gw,verb,Obadiah,1,3,2.0,,,,,,,
1,ku/rios,ku/rios[2],noun,Obadiah,1,4,,,,,vocative,plural,,
1,o(,o(,article,Obadiah,1,5,,,,,nominative,singular,masculine,
1,qeo\s,qeo/s,noun,Obadiah,1,6,,,,,nominative,singular,masculine,
1,th=|,o(,article,Obadiah,1,7,,,,,dative,singular,feminine,
1,*idoumai/a|,*)idoumai/a,noun,Obadiah,1,8,,,,,dative,singular,feminine,
1,a)koh\n,a)koh/,noun,Obadiah,1,9,,,,,accusative,singular,feminine,
1,h)/kousa,h(/kw,verb;,Obadiah,1,10,,present,active,participle,nominative,singular,feminine,
1,para\,para/,preposition,Obadiah,1,11,,,,indicative,,,,
1,kuri/ou,ku/rios[2],noun,Obadiah,1,12,,,,,vocative,plural,,
1,kai\,kai/,conjunction,Obadiah,1,13,,,,indicative,,,,
1,perioxh\n,peri·oxh/,noun,Obadiah,1,14,,,,,accusative,singular,feminine,
1,ei)s,ei)s[1],preposition,Obadiah,1,15,,,,indicative,,,,
1,ta\,o(,article,Obadiah,1,16,,,,,nominative,plural,neuter,
1,e)/qnh,e)/qno·s,noun,Obadiah,1,17,,,,,vocative,plural,,
1,e)cape/steilen,e)c·apo·ste/llw,verb,Obadiah,1,18,3.0,aorist,active,indicative,,singular,,
1,a)na/sthte,a)n·i/sthmi,verb,Obadiah,1,19,,,,,,,,
1,kai\,kai/,conjunction,Obadiah,1,20,,,,indicative,,,,
1,e)canastw=men,e)c·an·i/sthmi,verb,Obadiah,1,21,,,,,,,,
1,e)p’,e)pi/,preposition,Obadiah,1,22,,,,indicative,,,,
1,au)th\n,au)to/s,pronoun,Obadiah,1,23,,,,,accusative,singular,feminine,
1,ei)s,ei)s[1],preposition,Obadiah,1,24,,,,indicative,,,,
1,po/lemon,po/lemos,noun,Obadiah,1,25,,,,,accusative,singular,masculine,
2,i)dou\,o(ra/w,verb,Obadiah,1,1,,,,,,,,
2,de/dwka/,di/dwmi,verb,Obadiah,1,2,,,,,,,,
2,se,su/,pronoun,Obadiah,1,3,,,,,accusative,singular,,
2,e)n,e)n,preposition,Obadiah,1,4,,,,indicative,,,,
2,toi=s,o(,article,Obadiah,1,5,,,,,dative,plural,neuter,
2,e)/qnesin,e)/qno·s,noun,Obadiah,1,6,,,,,vocative,plural,,
2,h)timwme/nos,a)·timo/w,verb,Obadiah,1,7,,perfect,middle,participle,nominative,singular,masculine,
2,su\,su/,pronoun,Obadiah,1,8,,,,,nominative,singular,,
2,ei)=,ei)=mi[2],verb;,Obadiah,1,9,,,,,,,,
2,sfo/dra,sfo/dra,adverb,Obadiah,1,10,,,,indicative,,,,
3,u(perhfani/a,u(perhfani/a,noun,Obadiah,1,1,,,,,nominative,singular,feminine,
3,th=s,o(,article,Obadiah,1,2,,,,,genitive,singular,feminine,
3,kardi/as,kardi/a,noun,Obadiah,1,3,,,,,genitive,singular,feminine,
3,sou,su/,pronoun,Obadiah,1,4,,,,,genitive,singular,,
3,e)ph=re/n,e)p·ai/rw,verb,Obadiah,1,5,3.0,aorist,active,indicative,,singular,,
3,se,su/,pronoun,Obadiah,1,6,,,,,accusative,singular,,
3,kataskhnou=nta,kata·skhno/w,verb,Obadiah,1,7,,present,active,participle,accusative,singular,masculine,
3,e)n,e)n,preposition,Obadiah,1,8,,,,indicative,,,,
3,tai=s,o(,article,Obadiah,1,9,,,,,dative,plural,feminine,
3,o)pai=s,o)ph/,noun,Obadiah,1,10,,,,,dative,plural,feminine,
3,tw=n,o(,article,Obadiah,1,11,,,,,genitive,plural,neuter,
3,petrw=n,pe/tra,noun,Obadiah,1,12,,,,,genitive,plural,feminine,
3,u(yw=n,u(/yo·s,noun,Obadiah,1,13,,,,,genitive,plural,,
3,katoiki/an,kat·oiki/a,noun,Obadiah,1,14,,,,,accusative,singular,feminine,
3,au)tou=,au)to/s,pronoun,Obadiah,1,15,,,,,genitive,singular,masculine,
3,le/gwn,le/gw,verb,Obadiah,1,16,2.0,,,,,,,
3,e)n,e)n,preposition,Obadiah,1,17,,,,indicative,,,,
3,kardi/a|,kardi/a,noun,Obadiah,1,18,,,,,dative,singular,feminine,
3,au)tou=,au)to/s,pronoun,Obadiah,1,19,,,,,genitive,singular,masculine,
3,ti/s,ti/[n]s[1],pronoun,Obadiah,1,20,,,,,genitive,,,
3,me,e)gw/,pronoun,Obadiah,1,21,,,,,accusative,singular,,
3,kata/cei,kat·a/gw,verb;,Obadiah,1,22,2.0,,,,,,,
3,e)pi\,e)pi/,preposition,Obadiah,1,23,,,,indicative,,,,
3,th\n,o(,article,Obadiah,1,24,,,,,accusative,singular,feminine,
3,gh=n,gh=,noun,Obadiah,1,25,,,,,vocative,singular,,
4,e)a\n,e)a/n,particle,Obadiah,1,1,,,,indicative,,,,
4,metewrisqh=|s,met·ewri/zomai,verb,Obadiah,1,2,2.0,aorist,passive,subjunctive,,singular,,
4,w(s,w(s,adverb,Obadiah,1,3,,,,indicative,,,,
4,a)eto\s,a)eto/s,noun,Obadiah,1,4,,,,,nominative,singular,masculine,
4,kai\,kai/,conjunction,Obadiah,1,5,,,,indicative,,,,
4,e)a\n,e)a/n,particle,Obadiah,1,6,,,,indicative,,,,
4,a)na\,a)na/,preposition,Obadiah,1,7,,,,indicative,,,,
4,me/son,me/sos,adjective,Obadiah,1,8,,,,,nominative,singular,neuter,
4,tw=n,o(,article,Obadiah,1,9,,,,,genitive,plural,neuter,
4,a)/strwn,a)/stron,noun,Obadiah,1,10,,,,,,,,
4,qh=|s,ti/qhmi,verb,Obadiah,1,11,,,,,,,,
4,nossia/n,nossia//neossia/,noun,Obadiah,1,12,,,,,accusative,singular,feminine,
4,sou,su/,pronoun,Obadiah,1,13,,,,,genitive,singular,,
4,e)kei=qen,e)kei=·qen,adverb,Obadiah,1,14,,,,indicative,,,,
4,kata/cw,kat·a/gw,verb;,Obadiah,1,15,2.0,,,,,,,
4,se,su/,pronoun,Obadiah,1,16,,,,,accusative,singular,,
4,le/gei,le/gw,verb,Obadiah,1,17,2.0,,,,,,,
4,ku/rios,ku/rios[2],noun,Obadiah,1,18,,,,,vocative,plural,,
5,ei),ei),particle,Obadiah,1,1,,,,indicative,,,,
5,kle/ptai,kle/pths,noun,Obadiah,1,2,,,,,nominative,plural,masculine,
5,ei)sh=lqon,ei)s·e/rxomai,verb,Obadiah,1,3,2.0,,,,,,,
5,pro\s,pro/s,preposition,Obadiah,1,4,,,,indicative,,,,
5,se\,su/,pronoun,Obadiah,1,5,,,,,accusative,singular,,
5,h)\,h)/[1],particle,Obadiah,1,6,,,,indicative,,,,
5,lh|stai\,lh|sth/s,noun,Obadiah,1,7,,,,,nominative,plural,masculine,
5,nukto/s,nu/c,noun,Obadiah,1,8,,,,,genitive,singular,feminine,
5,pou=,pou=[1],adverb,Obadiah,1,9,,,,indicative,,,,
5,a)\n,a)/n,particle,Obadiah,1,10,,,,indicative,,,,
5,a)perri/fhs,a)po·rri/ptw/-ri/ptw,verb,Obadiah,1,11,2.0,aorist,passive,indicative,,singular,,
5,ou)k,ou)[2]/ou)k/ou)x,particle,Obadiah,1,12,,,,indicative,,,,
5,a)\n,a)/n,particle,Obadiah,1,13,,,,indicative,,,,
5,e)/kleyan,kle/ptw,verb,Obadiah,1,14,3.0,aorist,active,indicative,,plural,,
5,ta\,o(,article,Obadiah,1,15,,,,,nominative,plural,neuter,
5,i(kana\,i(kano/s,adjective,Obadiah,1,16,,,,,nominative,plural,neuter,
5,e(autoi=s,e(·autou=/au(tou=[2],pronoun,Obadiah,1,17,,,,,dative,plural,neuter,
5,kai\,kai/,conjunction,Obadiah,1,18,,,,indicative,,,,
5,ei),ei),particle,Obadiah,1,19,,,,indicative,,,,
5,ei)sh=lqon,ei)s·e/rxomai,verb,Obadiah,1,20,2.0,,,,,,,
5,pro\s,pro/s,preposition,Obadiah,1,21,,,,indicative,,,,
5,se/,su/,pronoun,Obadiah,1,22,,,,,accusative,singular,,
5,ou)k,ou)[2]/ou)k/ou)x,particle,Obadiah,1,23,,,,indicative,,,,
5,a)\n,a)/n,particle,Obadiah,1,24,,,,indicative,,,,
5,u(peli/ponto,u(po·lei/pw,verb,Obadiah,1,25,2.0,,,,,,,
6,pw=s,pw=s[1],particle,Obadiah,1,1,,,,indicative,,,,
6,e)chreunh/qh,e)c·erauna/w,verb,Obadiah,1,2,,,,,,,,
6,*hsau,*)hsau=,noun,Obadiah,1,3,,,,indicative,,,masculine,
6,kai\,kai/,conjunction,Obadiah,1,4,,,,indicative,,,,
6,katelh/mfqh,kata·lamba/nw,verb,Obadiah,1,5,2.0,,,,,,,
6,au)tou=,au)to/s,pronoun,Obadiah,1,6,,,,,genitive,singular,masculine,
6,ta\,o(,article,Obadiah,1,7,,,,,nominative,plural,neuter,
6,kekrumme/na,kru/ptw/kru/bw,verb,Obadiah,1,8,,perfect,middle,participle,nominative,plural,neuter,
7,e(/ws,e(/ws[1],conjunction;,Obadiah,1,1,,,,,,,,
7,tw=n,o(,article,Obadiah,1,2,,,,,genitive,plural,neuter,
7,o(ri/wn,o(/rion,noun,Obadiah,1,3,,,,,genitive,plural,neuter,
7,sou,su/,pronoun,Obadiah,1,4,,,,,genitive,singular,,
7,e)cape/steila/n,e)c·apo·ste/llw,verb,Obadiah,1,5,3.0,aorist,active,indicative,,plural,,
7,se,su/,pronoun,Obadiah,1,6,,,,,accusative,singular,,
7,pa/ntes,pa=[nt]s,quantifier,Obadiah,1,7,,,,,genitive,singular,,
7,oi(,o(,article,Obadiah,1,8,,,,,nominative,plural,masculine,
7,a)/ndres,a)nh/r,noun,Obadiah,1,9,,,,,vocative,singular,,
7,th=s,o(,article,Obadiah,1,10,,,,,genitive,singular,feminine,
7,diaqh/khs,dia·qh/kh,noun,Obadiah,1,11,,,,,genitive,singular,feminine,
7,sou,su/,pronoun,Obadiah,1,12,,,,,genitive,singular,,
7,a)nte/sthsa/n,a)nq·i/sthmi,verb,Obadiah,1,13,,,,,,,,
7,soi,su/,pronoun,Obadiah,1,14,,,,,,,,
7,h)duna/sqhsan,du/na·mai,verb,Obadiah,1,15,,,,,,,,
7,pro\s,pro/s,preposition,Obadiah,1,16,,,,indicative,,,,
7,se\,su/,pronoun,Obadiah,1,17,,,,,accusative,singular,,
7,a)/ndres,a)nh/r,noun,Obadiah,1,18,,,,,vocative,singular,,
7,ei)rhnikoi/,ei)rhniko/s,adjective,Obadiah,1,19,,,,,nominative,plural,masculine,
