verse,wordform,lemma,pos,book,chapter,word_order,person,tense,voice,mood,case,number,gender,degree
0,w)|dh\,w)|dh/,noun,Odes,1,1,,,,,nominative,singular,feminine,
0,*mwuse/ws,*mwu+sh=s,noun,Odes,1,2,,,,,,,,
0,e)n,e)n,preposition,Odes,1,3,,,,indicative,,,,
0,th=|,o(,article,Odes,1,4,,,,,dative,singular,feminine,
0,e)co/dw|,e)/c·odos,noun,Odes,1,5,,,,,dative,singular,feminine,
1,a)/|swmen,a)/|dw,verb,Odes,1,1,1.0,aorist,active,subjunctive,,plural,,
1,tw=|,o(,article,Odes,1,2,,,,,dative,singular,neuter,
1,kuri/w|,ku/rios[2],noun,Odes,1,3,,,,,vocative,plural,,
1,ga\r,ga/r,conjunction,Odes,1,4,,,,indicative,,,,
1,dedo/castai,doca/zw,verb,Odes,1,5,3.0,perfect,middle,indicative,,singular,,
1,i(/ppon,i(/ppos,noun,Odes,1,6,,,,,accusative,singular,masculine,
1,kai\,kai/,conjunction,Odes,1,7,,,,indicative,,,,
1,a)naba/thn,a)na·ba/ths,noun,Odes,1,8,,,,,,,,
1,e)/rriyen,r(i/ptw,verb,Odes,1,9,3.0,aorist,active,indicative,,singular,,
1,ei)s,ei)s[1],preposition,Odes,1,10,,,,indicative,,,,
1,qa/lassan,qa/lassa,noun,Odes,1,11,,,,,accusative,singular,feminine,
2,bohqo\s,bohqo/s,adjective,Odes,1,1,,,,,nominative,singular,masculine,
2,kai\,kai/,conjunction,Odes,1,2,,,,indicative,,,,
2,skepasth\s,skepasth/s,noun,Odes,1,3,,,,,,,,
2,e)ge/neto/,gi/nomai/gi/gn-,verb,Odes,1,4,2.0,,,,,,,
2,moi,e)gw/,pronoun,Odes,1,5,,,,,dative,singular,,
2,ei)s,ei)s[1],preposition,Odes,1,6,,,,indicative,,,,
2,swthri/an,swthri/a,noun,Odes,1,7,,,,,accusative,singular,feminine,
2,ou(=to/s,ou(=tos,determiner,Odes,1,8,,,,,nominative,singular,masculine,
2,mou,e)gw/,pronoun,Odes,1,9,,,,,genitive,singular,,
2,qeo/s,qeo/s,noun,Odes,1,10,,,,,nominative,singular,masculine,
2,kai\,kai/,conjunction,Odes,1,11,,,,indicative,,,,
2,doca/sw,doca/zw,verb,Odes,1,12,1.0,future,active,indicative,,singular,,
2,au)to/n,au)to/s,pronoun,Odes,1,13,,,,,accusative,singular,masculine,
2,qeo\s,qeo/s,noun,Odes,1,14,,,,,nominative,singular,masculine,
2,tou=,o(,article,Odes,1,15,,,,,genitive,singular,neuter,
2,patro/s,path/r,noun,Odes,1,16,,,,,vocative,plural,,
2,mou,e)gw/,pronoun,Odes,1,17,,,,,genitive,singular,,
2,kai\,kai/,conjunction,Odes,1,18,,,,indicative,,,,
2,u(yw/sw,u(yo/w,verb,Odes,1,19,1.0,future,active,indicative,,singular,,
2,au)to/n,au)to/s,pronoun,Odes,1,20,,,,,accusative,singular,masculine,
3,ku/rios,ku/rios[2],noun,Odes,1,1,,,,,vocative,plural,,
3,suntri/bwn,sun·tri/bw,verb,Odes,1,2,,present,active,participle,nominative,singular,masculine,
3,pole/mous,po/lemos,noun,Odes,1,3,,,,,accusative,plural,masculine,
3,ku/rios,ku/rios[2],noun,Odes,1,4,,,,,vocative,plural,,
3,o)/noma,o)/noma[t],noun,Odes,1,5,,,,,nominative,singular,neuter,
3,au)tw=|,au)to/s,pronoun,Odes,1,6,,,,,dative,singular,masculine,
4,a(/rmata,a(/rma[t],noun,Odes,1,1,,,,,nominative,plural,neuter,
4,*faraw,*faraw/,noun,Odes,1,2,,,,indicative,,,masculine,
4,kai\,kai/,conjunction,Odes,1,3,,,,indicative,,,,
4,th\n,o(,article,Odes,1,4,,,,,accusative,singular,feminine,
4,du/namin,du/namis,noun,Odes,1,5,,,,,accusative,singular,feminine,
4,au)tou=,au)to/s,pronoun,Odes,1,6,,,,,genitive,singular,masculine,
4,e)/rriyen,r(i/ptw,verb,Odes,1,7,3.0,aorist,active,indicative,,singular,,
4,ei)s,ei)s[1],preposition,Odes,1,8,,,,indicative,,,,
4,qa/lassan,qa/lassa,noun,Odes,1,9,,,,,accusative,singular,feminine,
4,a)naba/tas,a)na·ba/ths,noun,Odes,1,10,,,,,,,,
4,trista/tas,tri·sta/ths,noun,Odes,1,11,,,,,,,,
4,katepo/ntisen,kata·ponti/zw,verb,Odes,1,12,3.0,aorist,active,indicative,,singular,,
4,e)n,e)n,preposition,Odes,1,13,,,,indicative,,,,
4,e)ruqra=|,e)ruqro/s,adjective,Odes,1,14,,,,,dative,singular,feminine,
4,qala/ssh|,qa/lassa,noun,Odes,1,15,,,,,dative,singular,feminine,
5,po/ntw|,*po/ntos,noun,Odes,1,1,,,,,dative,singular,masculine,
5,e)ka/luyen,kalu/ptw,verb,Odes,1,2,3.0,aorist,active,indicative,,singular,,
5,au)tou/s,au)to/s,pronoun,Odes,1,3,,,,,accusative,plural,masculine,
5,kate/dusan,kata·du/w,verb,Odes,1,4,,,,,,,,
5,ei)s,ei)s[1],preposition,Odes,1,5,,,,indicative,,,,
5,buqo\n,buqo/s,noun,Odes,1,6,,,,,accusative,singular,masculine,
5,w(sei\,w(sei/,particle;,Odes,1,7,,,,,,,,
5,li/qos,li/qos,noun,Odes,1,8,,,,,nominative,singular,masculine,
