verse,wordform,lemma,pos,book,chapter,word_order,person,tense,voice,mood,case,number,gender,degree
1,paroimi/ai,par·oimi/a,noun,Proverbs,1,1,,,,,nominative,plural,feminine,
1,*salwmw=ntos,*solomw/n[1],noun,Proverbs,1,2,,,,,,,,
1,ui(ou=,ui(o/s,noun,Proverbs,1,3,,,,,vocative,plural,,
1,*dauid,*daui/d,noun,Proverbs,1,4,,,,,,,,
1,o(\s,o(/s,pronoun,Proverbs,1,5,,,,,nominative,singular,masculine,
1,e)basi/leusen,basileu/w,verb,Proverbs,1,6,3.0,aorist,active,indicative,,singular,,
1,e)n,e)n,preposition,Proverbs,1,7,,,,indicative,,,,
1,*israhl,*)israh/l,noun,Proverbs,1,8,,,,indicative,,,masculine,
2,gnw=nai,ginw/skw/gign-,verb,Proverbs,1,1,2.0,,,,,,,
2,sofi/an,sofi/a,noun,Proverbs,1,2,,,,,accusative,singular,feminine,
2,kai\,kai/,conjunction,Proverbs,1,3,,,,indicative,,,,
2,paidei/an,paidei/a,noun,Proverbs,1,4,,,,,accusative,singular,feminine,
2,noh=sai/,noe/w,verb,Proverbs,1,5,,aorist,active,infinitive,,,,
2,te,te/,particle,Proverbs,1,6,,,,indicative,,,,
2,lo/gous,lo/gos,noun,Proverbs,1,7,,,,,accusative,plural,masculine,
2,fronh/sews,fro/nhsis,noun,Proverbs,1,8,,,,,genitive,singular,feminine,
3,de/casqai/,de/xomai,verb,Proverbs,1,1,,aorist,middle,infinitive,,,,
3,te,te/,particle,Proverbs,1,2,,,,indicative,,,,
3,strofa\s,strofh/,noun,Proverbs,1,3,,,,,,,,
3,lo/gwn,lo/gos,noun,Proverbs,1,4,,,,,genitive,plural,masculine,
3,noh=sai/,noe/w,verb,Proverbs,1,5,,aorist,active,infinitive,,,,
3,te,te/,particle,Proverbs,1,6,,,,indicative,,,,
3,dikaiosu/nhn,dikaio·su/nh,noun,Proverbs,1,7,,,,,accusative,singular,feminine,
3,a)lhqh=,a)·lhqh/s,adjective,Proverbs,1,8,,,,,nominative,plural,neuter,
3,kai\,kai/,conjunction,Proverbs,1,9,,,,indicative,,,,
3,kri/ma,kri/ma[t],noun,Proverbs,1,10,,,,,nominative,singular,neuter,
3,kateuqu/nein,kat·eu·qu/nw,verb,Proverbs,1,11,,present,active,infinitive,,,,
4,i(/na,i(/na,conjunction,Proverbs,1,1,,,,indicative,,,,
4,dw=|,di/dwmi,verb,Proverbs,1,2,,,,,,,,
4,a)ka/kois,a)/·kakos,adjective,Proverbs,1,3,,,,,dative,plural,neuter,
4,panourgi/an,panourgi/a,noun,Proverbs,1,4,,,,,accusative,singular,feminine,
4,paidi\,pai=[d]s,noun,Proverbs,1,5,,,,,,,,
