verse,wordform,lemma,pos,book,chapter,word_order,person,tense,voice,mood,case,number,gender,degree
1,maka/rios,maka/rios,adjective,Psalms,1,1,,,,,nominative,singular,masculine,
1,a)nh/r,a)nh/r,noun,Psalms,1,2,,,,,vocative,singular,,
1,o(\s,o(/s,pronoun,Psalms,1,3,,,,,nominative,singular,masculine,
1,ou)k,ou)[2]/ou)k/ou)x,particle,Psalms,1,4,,,,indicative,,,,
1,e)poreu/qh,poreu/w,verb,Psalms,1,5,3.0,aorist,passive,indicative,,singular,,
1,e)n,e)n,preposition,Psalms,1,6,,,,indicative,,,,
1,boulh=|,boulh/,noun,Psalms,1,7,,,,,dative,singular,feminine,
1,a)sebw=n,a)·sebh/s,adjective,Psalms,1,8,,,,,genitive,plural,neuter,
1,kai\,kai/,conjunction,Psalms,1,9,,,,indicative,,,,
1,e)n,e)n,preposition,Psalms,1,10,,,,indicative,,,,
1,o(dw=|,o(do/s,noun,Psalms,1,11,,,,,dative,singular,feminine,
1,a(martwlw=n,a(·martwlo/s,adjective,Psalms,1,12,,,,,genitive,plural,neuter,
1,ou)k,ou)[2]/ou)k/ou)x,particle,Psalms,1,13,,,,indicative,,,,
1,e)/sth,i(/sthmi,verb,Psalms,1,14,,,,,,,,
1,kai\,kai/,conjunction,Psalms,1,15,,,,indicative,,,,
1,e)pi\,e)pi/,preposition,Psalms,1,16,,,,indicative,,,,
1,kaqe/dran,kaq·e/dra,noun,Psalms,1,17,,,,,accusative,singular,feminine,
1,loimw=n,loimo/s[1],noun,Psalms,1,18,,,,,genitive,plural,masculine,
1,ou)k,ou)[2]/ou)k/ou)x,particle,Psalms,1,19,,,,indicative,,,,
1,e)ka/qisen,kaqi/zw,verb,Psalms,1,20,3.0,aorist,active,indicative,,singular,,
2,a)ll’,a)lla/,particle,Psalms,1,1,,,,indicative,,,,
2,h)\,h)/[1],particle,Psalms,1,2,,,,indicative,,,,
2,e)n,e)n,preposition,Psalms,1,3,,,,indicative,,,,
2,tw=|,o(,article,Psalms,1,4,,,,,dative,singular,neuter,
2,no/mw|,no/mos,noun,Psalms,1,5,,,,,dative,singular,masculine,
2,kuri/ou,ku/rios[2],noun,Psalms,1,6,,,,,vocative,plural,,
