verse,wordform,lemma,pos,book,chapter,word_order,person,tense,voice,mood,case,number,gender,degree
1,e)bo/hsa,boa/w,verb,Psalms of Solomon,1,1,1.0,aorist,active,indicative,,singular,,
1,pro\s,pro/s,preposition,Psalms of Solomon,1,2,,,,indicative,,,,
1,ku/rion,ku/rios[2],noun,Psalms of Solomon,1,3,,,,,vocative,plural,,
1,e)n,e)n,preposition,Psalms of Solomon,1,4,,,,indicative,,,,
1,tw=|,o(,article,Psalms of Solomon,1,5,,,,,dative,singular,neuter,
1,qli/besqai/,qli/bw,verb,Psalms of Solomon,1,6,,present,middle,infinitive,,,,
1,me,e)gw/,pronoun,Psalms of Solomon,1,7,,,,,accusative,singular,,
1,ei)s,ei)s[1],preposition,Psalms of Solomon,1,8,,,,indicative,,,,
1,te/los,te/lo·s,noun,Psalms of Solomon,1,9,,,,,nominative,singular,neuter,
1,pro\s,pro/s,preposition,Psalms of Solomon,1,10,,,,indicative,,,,
1,to\n,o(,article,Psalms of Solomon,1,11,,,,,accusative,singular,masculine,
1,qeo\n,qeo/s,noun,Psalms of Solomon,1,12,,,,,accusative,singular,masculine,
1,e)n,e)n,preposition,Psalms of Solomon,1,13,,,,indicative,,,,
1,tw=|,o(,article,Psalms of Solomon,1,14,,,,,dative,singular,neuter,
1,e)piqe/sqai,e)pi·ti/qhmi,verb,Psalms of Solomon,1,15,,,,,,,,
1,a(martwlou/s,a(·martwlo/s,adjective,Psalms of Solomon,1,16,,,,,accusative,plural,masculine,
2,e)ca/pina,e)ca/pina,adverb,Psalms of Solomon,1,1,,,,indicative,,,,
2,h)kou/sqh,a)kou/w,verb,Psalms of Solomon,1,2,3.0,aorist,passive,indicative,,singular,,
2,kraugh\,kraugh/,noun,Psalms of Solomon,1,3,,,,,nominative,singular,feminine,
2,pole/mou,po/lemos,noun,Psalms of Solomon,1,4,,,,,genitive,singular,masculine,
2,e)nw/pio/n,e)n·w/pion,preposition;,Psalms of Solomon,1,5,,,,,,,,
2,mou,e)gw/,pronoun,Psalms of Solomon,1,6,,,,,genitive,singular,,
2,ei)=pa,le/gw,verb,Psalms of Solomon,1,7,2.0,,,,,,,
2,e)pakou/setai/,e)p·akou/w,verb,Psalms of Solomon,1,8,3.0,future,middle,indicative,,singular,,
2,mou,e)gw/,pronoun,Psalms of Solomon,1,9,,,,,genitive,singular,,
2,o(/ti,o(/ti,conjunction,Psalms of Solomon,1,10,,,,indicative,,,,
2,e)plh/sqhn,pi/mplhmi,verb,Psalms of Solomon,1,11,,,,,,,,
2,dikaiosu/nhs,dikaio·su/nh,noun,Psalms of Solomon,1,12,,,,,genitive,singular,feminine,
3,e)logisa/mhn,logi/zomai,verb,Psalms of Solomon,1,1,1.0,aorist,middle,indicative,,singular,,
3,e)n,e)n,preposition,Psalms of Solomon,1,2,,,,indicative,,,,
3,kardi/a|,kardi/a,noun,Psalms of Solomon,1,3,,,,,dative,singular,feminine,
3,mou,e)gw/,pronoun,Psalms of Solomon,1,4,,,,,genitive,singular,,
3,o(/ti,o(/ti,conjunction,Psalms of Solomon,1,5,,,,indicative,,,,
3,e)plh/sqhn,pi/mplhmi,verb,Psalms of Solomon,1,6,,,,,,,,
3,dikaiosu/nhs,dikaio·su/nh,noun,Psalms of Solomon,1,7,,,,,genitive,singular,feminine,
3,e)n,e)n,preposition,Psalms of Solomon,1,8,,,,indicative,,,,
3,tw=|,o(,article,Psalms of Solomon,1,9,,,,,dative,singular,neuter,
3,me,e)gw/,pronoun,Psalms of Solomon,1,10,,,,,accusative,singular,,
3,kai\,kai/,conjunction,Psalms of Solomon,1,11,,,,indicative,,,,
3,pollh\n,pol[l]u/s,quantifier,Psalms of Solomon,1,12,,,,,accusative,singular,feminine,
3,gene/sqai,gi/nomai/gi/gn-,verb,Psalms of Solomon,1,13,2.0,,,,,,,
3,e)n,e)n,preposition,Psalms of Solomon,1,14,,,,indicative,,,,
3,te/knois,te/knon,noun,Psalms of Solomon,1,15,,,,,vocative,singular,,
4,o(,o(,article,Psalms of Solomon,1,1,,,,,nominative,singular,masculine,
4,plou=tos,plou=tos,noun,Psalms of Solomon,1,2,,,,,,,,
4,au)tw=n,au)to/s,pronoun,Psalms of Solomon,1,3,,,,,genitive,plural,feminine,
4,diedo/qh,dia·di/dwmi,verb,Psalms of Solomon,1,4,,,,,,,,
4,ei)s,ei)s[1],preposition,Psalms of Solomon,1,5,,,,indicative,,,,
4,pa=san,pa=[nt]s,quantifier,Psalms of Solomon,1,6,,,,,genitive,singular,,
4,th\n,o(,article,Psalms of Solomon,1,7,,,,,accusative,singular,feminine,
4,gh=n,gh=,noun,Psalms of Solomon,1,8,,,,,vocative,singular,,
4,kai\,kai/,conjunction,Psalms of Solomon,1,9,,,,indicative,,,,
4,h(,o(,article,Psalms of Solomon,1,10,,,,,nominative,singular,feminine,
4,do/ca,do/ca,noun,Psalms of Solomon,1,11,,,,,nominative,singular,feminine,
4,au)tw=n,au)to/s,pronoun,Psalms of Solomon,1,12,,,,,genitive,plural,feminine,
4,e(/ws,e(/ws[1],conjunction;,Psalms of Solomon,1,13,,,,,,,,
4,e)sxa/tou,e)/sxatos,quantifier,Psalms of Solomon,1,14,,,,,genitive,singular,neuter,
4,th=s,o(,article,Psalms of Solomon,1,15,,,,,genitive,singular,feminine,
4,gh=s,gh=,noun,Psalms of Solomon,1,16,,,,,vocative,singular,,
5,u(yw/qhsan,u(yo/w,verb,Psalms of Solomon,1,1,3.0,aorist,passive,indicative,,plural,,
5,e(/ws,e(/ws[1],conjunction;,Psalms of Solomon,1,2,,,,,,,,
5,tw=n,o(,article,Psalms of Solomon,1,3,,,,,genitive,plural,neuter,
5,a)/strwn,a)/stron,noun,Psalms of Solomon,1,4,,,,,,,,
5,ei)=pan,le/gw,verb,Psalms of Solomon,1,5,2.0,,,,,,,
5,ou),ou)[2]/ou)k/ou)x,particle,Psalms of Solomon,1,6,,,,indicative,,,,
5,mh\,mh/,particle,Psalms of Solomon,1,7,,,,indicative,,,,
