verse,wordform,lemma,pos,book,chapter,word_order,person,tense,voice,mood,case,number,gender,degree
1,kai\,kai/,conjunction,Ruth,1,1,,,,indicative,,,,
1,e)ge/neto,gi/nomai/gi/gn-,verb,Ruth,1,2,2.0,,,,,,,
1,e)n,e)n,preposition,Ruth,1,3,,,,indicative,,,,
1,tw=|,o(,article,Ruth,1,4,,,,,dative,singular,neuter,
1,kri/nein,kri/nw,verb,Ruth,1,5,,present,active,infinitive,,,,
1,tou\s,o(,article,Ruth,1,6,,,,,accusative,plural,masculine,
1,krita\s,krith/s,noun,Ruth,1,7,,,,,accusative,plural,masculine,
1,kai\,kai/,conjunction,Ruth,1,8,,,,indicative,,,,
1,e)ge/neto,gi/nomai/gi/gn-,verb,Ruth,1,9,2.0,,,,,,,
1,limo\s,limo/s,noun,Ruth,1,10,,,,,,,,
1,e)n,e)n,preposition,Ruth,1,11,,,,indicative,,,,
1,th=|,o(,article,Ruth,1,12,,,,,dative,singular,feminine,
1,gh=|,gh=,noun,Ruth,1,13,,,,,vocative,singular,,
1,kai\,kai/,conjunction,Ruth,1,14,,,,indicative,,,,
1,e)poreu/qh,poreu/w,verb,Ruth,1,15,3.0,aorist,passive,indicative,,singular,,
1,a)nh\r,a)nh/r,noun,Ruth,1,16,,,,,vocative,singular,,
1,a)po\,a)po/,preposition,Ruth,1,17,,,,indicative,,,,
1,th=s,o(,article,Ruth,1,18,,,,,genitive,singular,feminine,
1,*iouda,*)iou/das,noun,Ruth,1,19,,,,,,,,
1,tou=,o(,article,Ruth,1,20,,,,,genitive,singular,neuter,
1,paroikh=sai,par·oike/w,verb,Ruth,1,21,,aorist,active,infinitive,,,,
1,e)n,e)n,preposition,Ruth,1,22,,,,indicative,,,,
1,a)grw=|,a)gro/s,noun,Ruth,1,23,,,,,dative,singular,masculine,
1,au)to\s,au)to/s,pronoun,Ruth,1,24,,,,,nominative,singular,masculine,
1,kai\,kai/,conjunction,Ruth,1,25,,,,indicative,,,,
1,h(,o(,article,Ruth,1,26,,,,,nominative,singular,feminine,
1,gunh\,gunh/,noun,Ruth,1,27,,,,,vocative,singular,,
1,au)tou=,au)to/s,pronoun,Ruth,1,28,,,,,genitive,singular,masculine,
1,kai\,kai/,conjunction,Ruth,1,29,,,,indicative,,,,
