verse,wordform,lemma,pos,book,chapter,word_order,person,tense,voice,mood,case,number,gender,degree
1,pa=sa,pa=[nt]s,quantifier,Sirach,1,1,,,,,genitive,singular,,
1,sofi/a,sofi/a,noun,Sirach,1,2,,,,,nominative,singular,feminine,
1,para\,para/,preposition,Sirach,1,3,,,,indicative,,,,
1,kuri/ou,ku/rios[2],noun,Sirach,1,4,,,,,vocative,plural,,
1,kai\,kai/,conjunction,Sirach,1,5,,,,indicative,,,,
1,met’,meta/,preposition,Sirach,1,6,,,,indicative,,,,
1,au)tou=,au)to/s,pronoun,Sirach,1,7,,,,,genitive,singular,masculine,
1,e)stin,ei)mi/[1],verb,Sirach,1,8,,,,,,,,
1,ei)s,ei)s[1],preposition,Sirach,1,9,,,,indicative,,,,
1,to\n,o(,article,Sirach,1,10,,,,,accusative,singular,masculine,
1,ai)w=na,ai)w/n,noun,Sirach,1,11,,,,,accusative,singular,masculine,
2,a)/mmon,a)/mmos,noun,Sirach,1,1,,,,,accusative,singular,feminine,
2,qalassw=n,qa/lassa,noun,Sirach,1,2,,,,,genitive,plural,feminine,
2,kai\,kai/,conjunction,Sirach,1,3,,,,indicative,,,,
2,u(etou=,u(eto/s,noun,Sirach,1,4,,,,,genitive,singular,masculine,
2,kai\,kai/,conjunction,Sirach,1,5,,,,indicative,,,,
2,h(me/ras,h(me/ra,noun,Sirach,1,6,,,,,genitive,singular,feminine,
2,ai)w=nos,ai)w/n,noun,Sirach,1,7,,,,,genitive,singular,masculine,
2,ti/s,ti/[n]s[1],pronoun,Sirach,1,8,,,,,genitive,,,
3,u(/yos,u(/yo·s,noun,Sirach,1,1,,,,,genitive,plural,,
3,ou)ranou=,ou)rano/s,noun,Sirach,1,2,,,,,vocative,plural,,
3,kai\,kai/,conjunction,Sirach,1,3,,,,indicative,,,,
3,pla/tos,pla/to·s,noun,Sirach,1,4,,,,,nominative,singular,neuter,
3,gh=s,gh=,noun,Sirach,1,5,,,,,vocative,singular,,
3,kai\,kai/,conjunction,Sirach,1,6,,,,indicative,,,,
3,a)/busson,a)/·bussos,noun,Sirach,1,7,,,,,accusative,singular,feminine,
3,kai\,kai/,conjunction,Sirach,1,8,,,,indicative,,,,
3,sofi/an,sofi/a,noun,Sirach,1,9,,,,,accusative,singular,feminine,
3,ti/s,ti/[n]s[1],pronoun,Sirach,1,10,,,,,genitive,,,
4,prote/ra,pro/·teros,adjective,Sirach,1,1,,,middle,,,,,comparative
4,pa/ntwn,pa=[nt]s,quantifier,Sirach,1,2,,,,,genitive,singular,,
4,e)/ktistai,kti/zw,verb,Sirach,1,3,3.0,perfect,middle,indicative,,singular,,
4,sofi/a,sofi/a,noun,Sirach,1,4,,,,,nominative,singular,feminine,
4,kai\,kai/,conjunction,Sirach,1,5,,,,indicative,,,,
4,su/nesis,su/n·esis,noun,Sirach,1,6,,,,,nominative,singular,feminine,
4,fronh/sews,fro/nhsis,noun,Sirach,1,7,,,,,genitive,singular,feminine,
4,e)c,e)k,preposition,Sirach,1,8,,,,indicative,,,,
4,ai)w=nos,ai)w/n,noun,Sirach,1,9,,,,,genitive,singular,masculine,
6,r(i/za,r(i/za,noun,Sirach,1,1,,,,,nominative,singular,feminine,
6,sofi/as,sofi/a,noun,Sirach,1,2,,,,,genitive,singular,feminine,
6,ti/ni,ti/[n]s[1],pronoun,Sirach,1,3,,,,,genitive,,,
6,a)pekalu/fqh,a)po·kalu/ptw,verb,Sirach,1,4,3.0,aorist,passive,indicative,,singular,,
6,kai\,kai/,conjunction,Sirach,1,5,,,,indicative,,,,
6,ta\,o(,article,Sirach,1,6,,,,,nominative,plural,neuter,
6,au)th=s,au)to/s,pronoun,Sirach,1,7,,,,,genitive,singular,feminine,
6,ti/s,ti/[n]s[1],pronoun,Sirach,1,8,,,,,genitive,,,
6,e)/gnw,ginw/skw/gign-,verb,Sirach,1,9,2.0,,,,,,,
8,ei(=s,ei(=s[2],quantifier,Sirach,1,1,,,,,genitive,singular,,
8,e)stin,ei)mi/[1],verb,Sirach,1,2,,,,,,,,
8,sofo/s,sofo/s,adjective,Sirach,1,3,,,,,nominative,singular,masculine,
8,fobero\s,fobero/s,adjective,Sirach,1,4,,,,,nominative,singular,masculine,
8,sfo/dra,sfo/dra,adverb,Sirach,1,5,,,,indicative,,,,
8,kaqh/menos,ka/q·h·mai,verb,Sirach,1,6,,,,,,,,
8,e)pi\,e)pi/,preposition,Sirach,1,7,,,,indicative,,,,
8,tou=,o(,article,Sirach,1,8,,,,,genitive,singular,neuter,
8,qro/nou,qro/nos,noun,Sirach,1,9,,,,,genitive,singular,masculine,
8,au)tou=,au)to/s,pronoun,Sirach,1,10,,,,,genitive,singular,masculine,
9,ku/rios,ku/rios[2],noun,Sirach,1,1,,,,,vocative,plural,,
9,au)to\s,au)to/s,pronoun,Sirach,1,2,,,,,nominative,singular,masculine,
9,e)/ktisen,kti/zw,verb,Sirach,1,3,3.0,aorist,active,indicative,,singular,,
9,au)th\n,au)to/s,pronoun,Sirach,1,4,,,,,accusative,singular,feminine,
9,kai\,kai/,conjunction,Sirach,1,5,,,,indicative,,,,
9,ei)=den,o(ra/w,verb,Sirach,1,6,,,,,,,,
9,kai\,kai/,conjunction,Sirach,1,7,,,,indicative,,,,
9,au)th\n,au)to/s,pronoun,Sirach,1,8,,,,,accusative,singular,feminine,
9,kai\,kai/,conjunction,Sirach,1,9,,,,indicative,,,,
9,e)ce/xeen,e)k·xe/w/-xu/n(n)w,verb,Sirach,1,10,3.0,imperfect,middle,imperative,,singular,,
9,au)th\n,au)to/s,pronoun,Sirach,1,11,,,,,accusative,singular,feminine,
9,e)pi\,e)pi/,preposition,Sirach,1,12,,,,indicative,,,,
9,pa/nta,pa=[nt]s,quantifier,Sirach,1,13,,,,,genitive,singular,,
9,ta\,o(,article,Sirach,1,14,,,,,nominative,plural,neuter,
9,e)/rga,e)/rgon,noun,Sirach,1,15,,,,,nominative,plural,neuter,
9,au)tou=,au)to/s,pronoun,Sirach,1,16,,,,,genitive,singular,masculine,
10,meta\,meta/,preposition,Sirach,1,1,,,,indicative,,,,
10,pa/shs,pa=[nt]s,quantifier,Sirach,1,2,,,,,genitive,singular,,
10,sarko\s,sa/rc,noun,Sirach,1,3,,,,,genitive,singular,feminine,
10,kata\,kata/,preposition,Sirach,1,4,,,,indicative,,,,
10,th\n,o(,article,Sirach,1,5,,,,,accusative,singular,feminine,
10,do/sin,do/sis,noun,Sirach,1,6,,,,,,,,
10,au)tou=,au)to/s,pronoun,Sirach,1,7,,,,,genitive,singular,masculine,
10,kai\,kai/,conjunction,Sirach,1,8,,,,indicative,,,,
10,e)xorh/ghsen,xor·hge/w,verb,Sirach,1,9,3.0,aorist,active,indicative,,singular,,
10,au)th\n,au)to/s,pronoun,Sirach,1,10,,,,,accusative,singular,feminine,
10,toi=s,o(,article,Sirach,1,11,,,,,dative,plural,neuter,
10,a)gapw=sin,a)gapa/w,verb,Sirach,1,12,3.0,present,active,indicative,,plural,,
10,au)to/n,au)to/s,pronoun,Sirach,1,13,,,,,accusative,singular,masculine,
11,fo/bos,fo/bos,noun,Sirach,1,1,,,,,nominative,singular,masculine,
11,kuri/ou,ku/rios[2],noun,Sirach,1,2,,,,,vocative,plural,,
11,do/ca,do/ca,noun,Sirach,1,3,,,,,nominative,singular,feminine,
11,kai\,kai/,conjunction,Sirach,1,4,,,,indicative,,,,
11,kau/xhma,kau/xhma[t],noun,Sirach,1,5,,,,,nominative,singular,neuter,
11,kai\,kai/,conjunction,Sirach,1,6,,,,indicative,,,,
11,eu)frosu/nh,eu)·fro·su/nh,noun,Sirach,1,7,,,,,nominative,singular,feminine,
11,kai\,kai/,conjunction,Sirach,1,8,,,,indicative,,,,
11,ste/fanos,ste/fanos[1],noun,Sirach,1,9,,,,,nominative,singular,masculine,
11,a)gallia/matos,a)galli/ama[t],noun,Sirach,1,10,,,,,,,,
12,fo/bos,fo/bos,noun,Sirach,1,1,,,,,nominative,singular,masculine,
12,kuri/ou,ku/rios[2],noun,Sirach,1,2,,,,,vocative,plural,,
12,kardi/an,kardi/a,noun,Sirach,1,3,,,,,accusative,singular,feminine,
12,kai\,kai/,conjunction,Sirach,1,4,,,,indicative,,,,
12,dw/sei,di/dwmi,verb,Sirach,1,5,,,,,,,,
12,eu)frosu/nhn,eu)·fro·su/nh,noun,Sirach,1,6,,,,,accusative,singular,feminine,
12,kai\,kai/,conjunction,Sirach,1,7,,,,indicative,,,,
12,xara\n,xara/,noun,Sirach,1,8,,,,,accusative,singular,feminine,
12,kai\,kai/,conjunction,Sirach,1,9,,,,indicative,,,,
13,tw=|,o(,article,Sirach,1,1,,,,,dative,singular,neuter,
13,foboume/nw|,fobe/w,verb,Sirach,1,2,,present,middle,participle,dative,singular,masculine,
13,to\n,o(,article,Sirach,1,3,,,,,accusative,singular,masculine,
13,ku/rion,ku/rios[2],noun,Sirach,1,4,,,,,vocative,plural,,
13,eu)=,eu)=,adverb,Sirach,1,5,,,,indicative,,,,
13,e)/stai,ei)mi/[1],verb,Sirach,1,6,,,,,,,,
13,e)p’,e)pi/,preposition,Sirach,1,7,,,,indicative,,,,
13,e)sxa/twn,e)/sxatos,quantifier,Sirach,1,8,,,,,genitive,plural,neuter,
13,kai\,kai/,conjunction,Sirach,1,9,,,,indicative,,,,
13,e)n,e)n,preposition,Sirach,1,10,,,,indicative,,,,
13,h(me/ra|,h(me/ra,noun,Sirach,1,11,,,,,dative,singular,feminine,
13,teleuth=s,teleuth/,noun,Sirach,1,12,,,,,genitive,singular,feminine,
13,au)tou=,au)to/s,pronoun,Sirach,1,13,,,,,genitive,singular,masculine,
13,eu)loghqh/setai,eu)·loge/w,verb,Sirach,1,14,3.0,future,passive,indicative,,singular,,
14,a)rxh\,a)rxh/,noun,Sirach,1,1,,,,,nominative,singular,feminine,
14,sofi/as,sofi/a,noun,Sirach,1,2,,,,,genitive,singular,feminine,
14,fobei=sqai,fobe/w,verb,Sirach,1,3,,present,middle,infinitive,,,,
14,to\n,o(,article,Sirach,1,4,,,,,accusative,singular,masculine,
14,ku/rion,ku/rios[2],noun,Sirach,1,5,,,,,vocative,plural,,
14,kai\,kai/,conjunction,Sirach,1,6,,,,indicative,,,,
14,meta\,meta/,preposition,Sirach,1,7,,,,indicative,,,,
14,pistw=n,pisto/s,adjective,Sirach,1,8,,,,,genitive,plural,neuter,
14,e)n,e)n,preposition,Sirach,1,9,,,,indicative,,,,
14,mh/tra|,mh/tra,noun,Sirach,1,10,,,,,dative,singular,feminine,
14,au)toi=s,au)to/s,pronoun,Sirach,1,11,,,,,dative,plural,masculine,
15,meta\,meta/,preposition,Sirach,1,1,,,,indicative,,,,
15,a)nqrw/pwn,a)/nqrwpos,noun,Sirach,1,2,,,,,genitive,plural,masculine,
15,qeme/lion,qeme/lios,noun,Sirach,1,3,,,,,,,,
15,ai)w=nos,ai)w/n,noun,Sirach,1,4,,,,,genitive,singular,masculine,
15,kai\,kai/,conjunction,Sirach,1,5,,,,indicative,,,,
15,meta\,meta/,preposition,Sirach,1,6,,,,indicative,,,,
15,tou=,o(,article,Sirach,1,7,,,,,genitive,singular,neuter,
15,spe/rmatos,spe/rma[t],noun,Sirach,1,8,,,,,genitive,singular,neuter,
15,au)tw=n,au)to/s,pronoun,Sirach,1,9,,,,,genitive,plural,feminine,
16,plhsmonh\,plhsmonh/,noun,Sirach,1,1,,,,,nominative,singular,feminine,
16,sofi/as,sofi/a,noun,Sirach,1,2,,,,,genitive,singular,feminine,
16,fobei=sqai,fobe/w,verb,Sirach,1,3,,present,middle,infinitive,,,,
