verse,wordform,lemma,pos,book,chapter,word_order,person,tense,voice,mood,case,number,gender,degree
1,o(/,o(/s,pronoun,Song of Solomon,1,1,,,,,nominative,singular,neuter,
1,e)stin,ei)mi/[1],verb,Song of Solomon,1,2,,,,,,,,
1,tw=|,o(,article,Song of Solomon,1,3,,,,,dative,singular,neuter,
1,*salwmwn,*solomw/n[1],noun,Song of Solomon,1,4,,,,,,,,
2,filhsa/tw,file/w,verb,Song of Solomon,1,1,3.0,aorist,active,imperative,,singular,,
2,me,e)gw/,pronoun,Song of Solomon,1,2,,,,,accusative,singular,,
2,a)po\,a)po/,preposition,Song of Solomon,1,3,,,,indicative,,,,
2,filhma/twn,fi/lhma[t],noun,Song of Solomon,1,4,,,,,genitive,plural,neuter,
2,sto/matos,sto/ma[t],noun,Song of Solomon,1,5,,,,,genitive,singular,neuter,
2,au)tou=,au)to/s,pronoun,Song of Solomon,1,6,,,,,genitive,singular,masculine,
2,o(/ti,o(/ti,conjunction,Song of Solomon,1,7,,,,indicative,,,,
2,a)gaqoi\,a)gaqo/s,adjective,Song of Solomon,1,8,,,,,,,,
2,mastoi/,masto/s,noun,Song of Solomon,1,9,,,,,nominative,plural,masculine,
2,sou,su/,pronoun,Song of Solomon,1,10,,,,,genitive,singular,,
2,u(pe\r,u(pe/r,preposition,Song of Solomon,1,11,,,,indicative,,,,
2,oi)=non,oi)=nos,noun,Song of Solomon,1,12,,,,,accusative,singular,masculine,
3,kai\,kai/,conjunction,Song of Solomon,1,1,,,,indicative,,,,
3,o)smh\,o)smh/,noun,Song of Solomon,1,2,,,,,nominative,singular,feminine,
3,mu/rwn,mu/ron,noun,Song of Solomon,1,3,,,,,genitive,plural,neuter,
3,sou,su/,pronoun,Song of Solomon,1,4,,,,,genitive,singular,,
3,u(pe\r,u(pe/r,preposition,Song of Solomon,1,5,,,,indicative,,,,
3,pa/nta,pa=[nt]s,quantifier,Song of Solomon,1,6,,,,,genitive,singular,,
3,ta\,o(,article,Song of Solomon,1,7,,,,,nominative,plural,neuter,
3,a)rw/mata,a)/rwma[t],noun,Song of Solomon,1,8,,,,,nominative,plural,neuter,
3,mu/ron,mu/ron,noun,Song of Solomon,1,9,,,,,nominative,singular,neuter,
3,o)/noma/,o)/noma[t],noun,Song of Solomon,1,10,,,,,nominative,singular,neuter,
3,sou,su/,pronoun,Song of Solomon,1,11,,,,,genitive,singular,,
3,dia\,dia/,preposition,Song of Solomon,1,12,,,,indicative,,,,
3,tou=to,ou(=tos,determiner,Song of Solomon,1,13,,,,,nominative,singular,neuter,
3,h)ga/phsa/n,a)gapa/w,verb,Song of Solomon,1,14,3.0,aorist,active,indicative,,plural,,
3,se,su/,pronoun,Song of Solomon,1,15,,,,,accusative,singular,,
4,ei(/lkusa/n,e(/lkw,verb,Song of Solomon,1,1,3.0,aorist,active,indicative,,plural,,
4,se,su/,pronoun,Song of Solomon,1,2,,,,,accusative,singular,,
4,o)pi/sw,o)pi/sw,adverb,Song of Solomon,1,3,,,,indicative,,,,
4,sou,su/,pronoun,Song of Solomon,1,4,,,,,genitive,singular,,
4,ei)s,ei)s[1],preposition,Song of Solomon,1,5,,,,indicative,,,,
4,o)smh\n,o)smh/,noun,Song of Solomon,1,6,,,,,accusative,singular,feminine,
4,mu/rwn,mu/ron,noun,Song of Solomon,1,7,,,,,genitive,plural,neuter,
4,sou,su/,pronoun,Song of Solomon,1,8,,,,,genitive,singular,,
4,dramou=men,tre/xw,verb,Song of Solomon,1,9,2.0,,,,,,,
4,ei)sh/negke/n,ei)s·fe/rw,verb,Song of Solomon,1,10,2.0,,,,,,,
4,me,e)gw/,pronoun,Song of Solomon,1,11,,,,,accusative,singular,,
4,o(,o(,article,Song of Solomon,1,12,,,,,nominative,singular,masculine,
4,basileu\s,basileu/s,noun,Song of Solomon,1,13,,,,,nominative,singular,masculine,
4,ei)s,ei)s[1],preposition,Song of Solomon,1,14,,,,indicative,,,,
4,to\,o(,article,Song of Solomon,1,15,,,,,nominative,singular,neuter,
4,tami/eion,tamei=on,noun,Song of Solomon,1,16,,,,,,,,
4,au)tou=,au)to/s,pronoun,Song of Solomon,1,17,,,,,genitive,singular,masculine,
4,a)galliasw/meqa,a)gallia/w,verb,Song of Solomon,1,18,1.0,aorist,middle,subjunctive,,plural,,
4,kai\,kai/,conjunction,Song of Solomon,1,19,,,,indicative,,,,
4,eu)franqw=men,eu)·frai/nw,verb,Song of Solomon,1,20,1.0,aorist,passive,subjunctive,,plural,,
4,e)n,e)n,preposition,Song of Solomon,1,21,,,,indicative,,,,
4,soi/,su/,pronoun,Song of Solomon,1,22,,,,,,,,
4,a)gaph/somen,a)gapa/w,verb,Song of Solomon,1,23,1.0,future,active,indicative,,plural,,
4,mastou/s,masto/s,noun,Song of Solomon,1,24,,,,,accusative,plural,masculine,
4,sou,su/,pronoun,Song of Solomon,1,25,,,,,genitive,singular,,
4,u(pe\r,u(pe/r,preposition,Song of Solomon,1,26,,,,indicative,,,,
4,oi)=non,oi)=nos,noun,Song of Solomon,1,27,,,,,accusative,singular,masculine,
4,eu)qu/ths,eu)·qu/th[t]s,noun,Song of Solomon,1,28,,,,,nominative,singular,feminine,
4,h)ga/phse/n,a)gapa/w,verb,Song of Solomon,1,29,3.0,aorist,active,indicative,,singular,,
