verse,wordform,lemma,pos,book,chapter,word_order,person,tense,voice,mood,case,number,gender,degree
6,kai\,kai/,conjunction,Susanna OG,1,1,,,,indicative,,,,
6,h)/rxonto,e)/rxomai,verb;,Susanna OG,1,2,2.0,,,,,,,
6,kri/seis,kri/sis,noun,Susanna OG,1,3,,,,,nominative,plural,feminine,
6,e)c,e)k,preposition,Susanna OG,1,4,,,,indicative,,,,
6,a)/llwn,a)/llos,determiner,Susanna OG,1,5,,,,,,,,
6,po/lewn,po/lis,noun,Susanna OG,1,6,,,,,genitive,plural,feminine,
6,pro\s,pro/s,preposition,Susanna OG,1,7,,,,indicative,,,,
6,au)tou/s,au)to/s,pronoun,Susanna OG,1,8,,,,,accusative,plural,masculine,
9,die/streyan,dia·stre/fw,verb,Susanna OG,1,1,3.0,aorist,active,indicative,,plural,,
9,to\n,o(,article,Susanna OG,1,2,,,,,accusative,singular,masculine,
9,nou=n,noun,hebrew,Susanna OG,1,3,,,,,,,,
9,au)tw=n,au)to/s,pronoun,Susanna OG,1,4,,,,,genitive,plural,feminine,
9,kai\,kai/,conjunction,Susanna OG,1,5,,,,indicative,,,,
9,e)ce/klinan,e)k·kli/nw,verb,Susanna OG,1,6,3.0,aorist,active,indicative,,plural,,
9,tou\s,o(,article,Susanna OG,1,7,,,,,accusative,plural,masculine,
9,o)fqalmou\s,o)fqalmo/s,noun,Susanna OG,1,8,,,,,accusative,plural,masculine,
9,au)tw=n,au)to/s,pronoun,Susanna OG,1,9,,,,,genitive,plural,feminine,
9,tou=,o(,article,Susanna OG,1,10,,,,,genitive,singular,neuter,
9,mh\,mh/,particle,Susanna OG,1,11,,,,indicative,,,,
9,ble/pein,ble/pw,verb,Susanna OG,1,12,,present,active,infinitive,,,,
9,ei)s,ei)s[1],preposition,Susanna OG,1,13,,,,indicative,,,,
9,to\n,o(,article,Susanna OG,1,14,,,,,accusative,singular,masculine,
9,ou)rano\n,ou)rano/s,noun,Susanna OG,1,15,,,,,vocative,plural,,
9,mhde\,mhde/,particle;,Susanna OG,1,16,,,,indicative,,,,
9,mnhmoneu/ein,mnhmoneu/w,verb,Susanna OG,1,17,,present,active,infinitive,,,,
9,krima/twn,kri/ma[t],noun,Susanna OG,1,18,,,,,genitive,plural,neuter,
9,dikai/wn,di/kaios,adjective,Susanna OG,1,19,,,,,genitive,plural,neuter,
12,kai\,kai/,conjunction,Susanna OG,1,1,,,,indicative,,,,
12,w(s,w(s,adverb,Susanna OG,1,2,,,,indicative,,,,
12,e)gi/neto,gi/nomai/gi/gn-,verb,Susanna OG,1,3,2.0,,,,,,,
12,o)/rqros,o)/rqros,noun,Susanna OG,1,4,,,,,nominative,singular,masculine,
12,e)rxo/menoi,e)/rxomai,verb,Susanna OG,1,5,2.0,,,,,,,
12,e)/klepton,kle/ptw,verb,Susanna OG,1,6,1.0,imperfect,middle,imperative,,singular,,
12,a)llh/lous,a)llh/lwn,pronoun,Susanna OG,1,7,,,,,genitive,plural,,
12,speu/dontes,speu/dw,verb,Susanna OG,1,8,,present,active,participle,nominative,plural,masculine,
12,ti/s,ti/[n]s[1],pronoun,Susanna OG,1,9,,,,,genitive,,,
12,fanh/setai,fai/nw,verb,Susanna OG,1,10,3.0,future,passive,indicative,,singular,,
12,au)th=|,au)to/s,pronoun,Susanna OG,1,11,,,,,dative,singular,feminine,
12,pro/teros,pro/·teros,adjective,Susanna OG,1,12,,,middle,,,,,comparative
12,kai\,kai/,conjunction,Susanna OG,1,13,,,,indicative,,,,
12,lalh/sei,lale/w,verb,Susanna OG,1,14,3.0,future,active,indicative,,singular,,
12,pro\s,pro/s,preposition,Susanna OG,1,15,,,,indicative,,,,
12,au)th/n,au)to/s,pronoun,Susanna OG,1,16,,,,,accusative,singular,feminine,
19,kai\,kai/,conjunction,Susanna OG,1,1,,,,indicative,,,,
19,ei)=pen,le/gw,verb,Susanna OG,1,2,2.0,,,,,,,
19,ei(=s,ei(=s[2],quantifier,Susanna OG,1,3,,,,,genitive,singular,,
19,tw=|,o(,article,Susanna OG,1,4,,,,,dative,singular,neuter,
19,e(te/rw|,e(/teros,determiner,Susanna OG,1,5,,,,,,,,
19,poreuqw=men,poreu/w,verb,Susanna OG,1,6,1.0,aorist,passive,subjunctive,,plural,,
19,pro\s,pro/s,preposition,Susanna OG,1,7,,,,indicative,,,,
19,au)th/n,au)to/s,pronoun,Susanna OG,1,8,,,,,accusative,singular,feminine,
19,kai\,kai/,conjunction,Susanna OG,1,9,,,,indicative,,,,
19,sunqe/menoi,sun·ti/qhmi,verb,Susanna OG,1,10,2.0,,,,,,,
19,prosh/lqosan,pros·e/rxomai,verb,Susanna OG,1,11,2.0,,,,,,,
19,au)th=|,au)to/s,pronoun,Susanna OG,1,12,,,,,dative,singular,feminine,
19,kai\,kai/,conjunction,Susanna OG,1,13,,,,indicative,,,,
19,au)th/n,au)to/s,pronoun,Susanna OG,1,14,,,,,accusative,singular,feminine,
22,kai\,kai/,conjunction,Susanna OG,1,1,,,,indicative,,,,
22,ei)=pen,le/gw,verb,Susanna OG,1,2,2.0,,,,,,,
22,au)toi=s,au)to/s,pronoun,Susanna OG,1,3,,,,,dative,plural,masculine,
22,h(,o(,article,Susanna OG,1,4,,,,,nominative,singular,feminine,
22,*ioudai/a,*)ioudai/a,noun,Susanna OG,1,5,,,,,nominative,singular,feminine,
22,oi)=da,oi)=da,verb,Susanna OG,1,6,,,,,,,,
22,o(/ti,o(/ti,conjunction,Susanna OG,1,7,,,,indicative,,,,
22,e)a\n,e)a/n,particle,Susanna OG,1,8,,,,indicative,,,,
22,pra/cw,pra/ssw/pra/ttw,verb,Susanna OG,1,9,1.0,future,active,indicative,,singular,,
22,tou=to,ou(=tos,determiner,Susanna OG,1,10,,,,,nominative,singular,neuter,
