verse,wordform,lemma,pos,book,chapter,word_order,person,tense,voice,mood,case,number,gender,degree
1,kai\,kai/,conjunction,Susanna Th,1,1,,,,indicative,,,,
1,h)=n,ei)mi/[1],verb,Susanna Th,1,2,,,,,,,,
1,a)nh\r,a)nh/r,noun,Susanna Th,1,3,,,,,vocative,singular,,
1,oi)kw=n,oi)=kos,noun,Susanna Th,1,4,,,,,,,,
1,e)n,e)n,preposition,Susanna Th,1,5,,,,indicative,,,,
1,*babulw=ni,*babulw/n,noun,Susanna Th,1,6,,,,,dative,singular,masculine,
1,kai\,kai/,conjunction,Susanna Th,1,7,,,,indicative,,,,
1,o)/noma,o)/noma[t],noun,Susanna Th,1,8,,,,,nominative,singular,neuter,
1,au)tw=|,au)to/s,pronoun,Susanna Th,1,9,,,,,dative,singular,masculine,
2,kai\,kai/,conjunction,Susanna Th,1,1,,,,indicative,,,,
2,e)/laben,lamba/nw,verb,Susanna Th,1,2,2.0,,,,,,,
2,gunai=ka,gunh/,noun,Susanna Th,1,3,,,,,vocative,singular,,
2,h(=|,o(/s,pronoun,Susanna Th,1,4,,,,,dative,singular,feminine,
2,o)/noma,o)/noma[t],noun,Susanna Th,1,5,,,,,nominative,singular,neuter,
2,*sousanna,*sousa/nna,noun,Susanna Th,1,6,,,,,nominative,singular,feminine,
2,quga/thr,quga/thr,noun,Susanna Th,1,7,,,,,vocative,singular,,
2,kalh\,kalo/s,adjective,Susanna Th,1,8,,,,,,,,
2,sfo/dra,sfo/dra,adverb,Susanna Th,1,9,,,,indicative,,,,
2,kai\,kai/,conjunction,Susanna Th,1,10,,,,indicative,,,,
2,foboume/nh,fobe/w,verb,Susanna Th,1,11,,present,middle,participle,nominative,singular,feminine,
2,to\n,o(,article,Susanna Th,1,12,,,,,accusative,singular,masculine,
2,ku/rion,ku/rios[2],noun,Susanna Th,1,13,,,,,vocative,plural,,
3,kai\,kai/,conjunction,Susanna Th,1,1,,,,indicative,,,,
3,oi(,o(,article,Susanna Th,1,2,,,,,nominative,plural,masculine,
3,gonei=s,goneu/s,noun,Susanna Th,1,3,,,,,nominative,plural,masculine,
3,au)th=s,au)to/s,pronoun,Susanna Th,1,4,,,,,genitive,singular,feminine,
3,di/kaioi,di/kaios,adjective,Susanna Th,1,5,,,,,nominative,plural,masculine,
3,kai\,kai/,conjunction,Susanna Th,1,6,,,,indicative,,,,
3,e)di/dacan,dida/skw,verb,Susanna Th,1,7,3.0,aorist,active,indicative,,plural,,
3,th\n,o(,article,Susanna Th,1,8,,,,,accusative,singular,feminine,
3,qugate/ra,quga/thr,noun,Susanna Th,1,9,,,,,vocative,singular,,
3,au)tw=n,au)to/s,pronoun,Susanna Th,1,10,,,,,genitive,plural,feminine,
3,kata\,kata/,preposition,Susanna Th,1,11,,,,indicative,,,,
3,to\n,o(,article,Susanna Th,1,12,,,,,accusative,singular,masculine,
3,no/mon,no/mos,noun,Susanna Th,1,13,,,,,accusative,singular,masculine,
3,*mwush=,*mwu+sh=s,noun,Susanna Th,1,14,,,,,,,,
4,kai\,kai/,conjunction,Susanna Th,1,1,,,,indicative,,,,
4,h)=n,ei)mi/[1],verb,Susanna Th,1,2,,,,,,,,
4,plou/sios,plou/sios,adjective,Susanna Th,1,3,,,,,nominative,singular,masculine,
4,sfo/dra,sfo/dra,adverb,Susanna Th,1,4,,,,indicative,,,,
4,kai\,kai/,conjunction,Susanna Th,1,5,,,,indicative,,,,
4,h)=n,ei)mi/[1],verb,Susanna Th,1,6,,,,,,,,
4,au)tw=|,au)to/s,pronoun,Susanna Th,1,7,,,,,dative,singular,masculine,
4,para/deisos,para/deisos,noun,Susanna Th,1,8,,,,,nominative,singular,masculine,
4,tw=|,o(,article,Susanna Th,1,9,,,,,dative,singular,neuter,
4,oi)/kw|,oi)=kos,noun,Susanna Th,1,10,,,,,,,,
4,au)tou=,au)to/s,pronoun,Susanna Th,1,11,,,,,genitive,singular,masculine,
4,kai\,kai/,conjunction,Susanna Th,1,12,,,,indicative,,,,
4,pro\s,pro/s,preposition,Susanna Th,1,13,,,,indicative,,,,
4,au)to\n,au)to/s,pronoun,Susanna Th,1,14,,,,,accusative,singular,masculine,
4,prosh/gonto,pros·a/gw,verb,Susanna Th,1,15,2.0,,,,,,,
4,oi(,o(,article,Susanna Th,1,16,,,,,nominative,plural,masculine,
4,*ioudai=oi,*)ioudai=os,adjective,Susanna Th,1,17,,,,,nominative,plural,masculine,
4,dia\,dia/,preposition,Susanna Th,1,18,,,,indicative,,,,
4,to\,o(,article,Susanna Th,1,19,,,,,nominative,singular,neuter,
4,ei)=nai,ei)mi/[1],verb,Susanna Th,1,20,,,,,,,,
4,au)to\n,au)to/s,pronoun,Susanna Th,1,21,,,,,accusative,singular,masculine,
4,e)ndoco/teron,e)n·doco/·teros,adjective,Susanna Th,1,22,,,,,,,,
4,pa/ntwn,pa=[nt]s,quantifier,Susanna Th,1,23,,,,,genitive,singular,,
