verse,wordform,lemma,pos,book,chapter,word_order,person,tense,voice,mood,case,number,gender,degree
1,bi/blos,bi/blos/bu/blos,noun,Tobit BA,1,1,,,,,nominative,singular,feminine,
1,lo/gwn,lo/gos,noun,Tobit BA,1,2,,,,,genitive,plural,masculine,
1,tou=,o(,article,Tobit BA,1,3,,,,,genitive,singular,neuter,
1,tou=,o(,article,Tobit BA,1,4,,,,,genitive,singular,neuter,
1,tou=,o(,article,Tobit BA,1,5,,,,,genitive,singular,neuter,
1,tou=,o(,article,Tobit BA,1,6,,,,,genitive,singular,neuter,
1,e)k,e)k,preposition,Tobit BA,1,7,,,,indicative,,,,
1,tou=,o(,article,Tobit BA,1,8,,,,,genitive,singular,neuter,
1,spe/rmatos,spe/rma[t],noun,Tobit BA,1,9,,,,,genitive,singular,neuter,
1,e)k,e)k,preposition,Tobit BA,1,10,,,,indicative,,,,
1,th=s,o(,article,Tobit BA,1,11,,,,,genitive,singular,feminine,
1,fulh=s,fulh/,noun,Tobit BA,1,12,,,,,genitive,singular,feminine,
1,*nefqalim,*nefqali/m,noun,Tobit BA,1,13,,,,,,,,
2,o(\s,o(/s,pronoun,Tobit BA,1,1,,,,,nominative,singular,masculine,
2,h)|xmalwteu/qh,ai)xm·alwteu/w,verb,Tobit BA,1,2,3.0,aorist,passive,indicative,,singular,,
2,e)n,e)n,preposition,Tobit BA,1,3,,,,indicative,,,,
2,h(me/rais,h(me/ra,noun,Tobit BA,1,4,,,,,dative,plural,feminine,
2,tou=,o(,article,Tobit BA,1,5,,,,,genitive,singular,neuter,
2,basile/ws,basileu/s,noun,Tobit BA,1,6,,,,,genitive,singular,masculine,
2,e)k,e)k,preposition,Tobit BA,1,7,,,,indicative,,,,
2,h(/,o(/s,pronoun,Tobit BA,1,8,,,,,nominative,singular,feminine,
2,e)stin,ei)mi/[1],verb,Tobit BA,1,9,,,,,,,,
2,e)k,e)k,preposition,Tobit BA,1,10,,,,indicative,,,,
2,deciw=n,decio/s,adjective,Tobit BA,1,11,,,,,genitive,plural,neuter,
2,th=s,o(,article,Tobit BA,1,12,,,,,genitive,singular,feminine,
2,*nefqalim,*nefqali/m,noun,Tobit BA,1,13,,,,,,,,
2,e)n,e)n,preposition,Tobit BA,1,14,,,,indicative,,,,
2,th=|,o(,article,Tobit BA,1,15,,,,,dative,singular,feminine,
