verse,wordform,lemma,pos,book,chapter,word_order,person,tense,voice,mood,case,number,gender,degree
1,*)agaph/sate,a)gapa/w,verb,Wisdom of Solomon,1,1,2.0,aorist,active,imperative,,plural,,
1,dikaiosu/nhn,dikaio·su/nh,noun,Wisdom of Solomon,1,2,,,,,accusative,singular,feminine,
1,oi(,o(,article,Wisdom of Solomon,1,3,,,,,nominative,plural,masculine,
1,kri/nontes,kri/nw,verb,Wisdom of Solomon,1,4,,present,active,participle,nominative,plural,masculine,
1,th\n,o(,article,Wisdom of Solomon,1,5,,,,,accusative,singular,feminine,
1,gh=n,gh=,noun,Wisdom of Solomon,1,6,,,,,vocative,singular,,
1,fronh/sate,frone/w,verb,Wisdom of Solomon,1,7,2.0,aorist,active,imperative,,plural,,
1,peri\,peri/,preposition,Wisdom of Solomon,1,8,,,,indicative,,,,
1,tou=,o(,article,Wisdom of Solomon,1,9,,,,,genitive,singular,neuter,
1,kuri/ou,ku/rios[2],noun,Wisdom of Solomon,1,10,,,,,vocative,plural,,
1,e)n,e)n,preposition,Wisdom of Solomon,1,11,,,,indicative,,,,
1,kai\,kai/,conjunction,Wisdom of Solomon,1,12,,,,indicative,,,,
1,e)n,e)n,preposition,Wisdom of Solomon,1,13,,,,indicative,,,,
1,a(plo/thti,a(plo/th[t]s,noun,Wisdom of Solomon,1,14,,,,,dative,singular,feminine,
1,kardi/as,kardi/a,noun,Wisdom of Solomon,1,15,,,,,genitive,singular,feminine,
1,zhth/sate,zhte/w,verb,Wisdom of Solomon,1,16,2.0,aorist,active,imperative,,plural,,
1,au)to/n,au)to/s,pronoun,Wisdom of Solomon,1,17,,,,,accusative,singular,masculine,
2,o(/ti,o(/ti,conjunction,Wisdom of Solomon,1,1,,,,indicative,,,,
2,eu(ri/sketai,eu(ri/skw,verb,Wisdom of Solomon,1,2,2.0,,,,,,,
2,toi=s,o(,article,Wisdom of Solomon,1,3,,,,,dative,plural,neuter,
2,mh\,mh/,particle,Wisdom of Solomon,1,4,,,,indicative,,,,
2,peira/zousin,peira/zw,verb,Wisdom of Solomon,1,5,3.0,present,active,indicative,,plural,,
2,au)to/n,au)to/s,pronoun,Wisdom of Solomon,1,6,,,,,accusative,singular,masculine,
2,e)mfani/zetai,e)m·fani/zw,verb,Wisdom of Solomon,1,7,3.0,present,middle,indicative,,singular,,
2,de\,de/,particle,Wisdom of Solomon,1,8,,,,indicative,,,,
2,toi=s,o(,article,Wisdom of Solomon,1,9,,,,,dative,plural,neuter,
2,mh\,mh/,particle,Wisdom of Solomon,1,10,,,,indicative,,,,
2,a)pistou=sin,a)·piste/w,verb,Wisdom of Solomon,1,11,3.0,present,active,indicative,,plural,,
2,au)tw=|,au)to/s,pronoun,Wisdom of Solomon,1,12,,,,,dative,singular,masculine,
3,skolioi\,skolio/s,adjective,Wisdom of Solomon,1,1,,,,,nominative,plural,masculine,
3,ga\r,ga/r,conjunction,Wisdom of Solomon,1,2,,,,indicative,,,,
3,logismoi\,logismo/s,noun,Wisdom of Solomon,1,3,,,,,nominative,plural,masculine,
3,xwri/zousin,xwri/zw,verb,Wisdom of Solomon,1,4,3.0,present,active,indicative,,plural,,
3,a)po\,a)po/,preposition,Wisdom of Solomon,1,5,,,,indicative,,,,
3,qeou=,qeo/s,noun,Wisdom of Solomon,1,6,,,,,genitive,singular,masculine,
3,dokimazome/nh,dokima/zw,verb,Wisdom of Solomon,1,7,,present,middle,participle,nominative,singular,feminine,
3,te,te/,particle,Wisdom of Solomon,1,8,,,,indicative,,,,
3,h(,o(,article,Wisdom of Solomon,1,9,,,,,nominative,singular,feminine,
3,du/namis,du/namis,noun,Wisdom of Solomon,1,10,,,,,nominative,singular,feminine,
3,e)le/gxei,e)le/gxw,verb,Wisdom of Solomon,1,11,3.0,present,active,indicative,,singular,,
3,tou\s,o(,article,Wisdom of Solomon,1,12,,,,,accusative,plural,masculine,
3,a)/fronas,a)/·frwn,adjective,Wisdom of Solomon,1,13,,,,,genitive,singular,,
4,o(/ti,o(/ti,conjunction,Wisdom of Solomon,1,1,,,,indicative,,,,
4,ei)s,ei)s[1],preposition,Wisdom of Solomon,1,2,,,,indicative,,,,
4,yuxh\n,yuxh/,noun,Wisdom of Solomon,1,3,,,,,vocative,singular,,
4,ou)k,ou)[2]/ou)k/ou)x,particle,Wisdom of Solomon,1,4,,,,indicative,,,,
4,ei)seleu/setai,ei)s·e/rxomai,verb,Wisdom of Solomon,1,5,2.0,,,,,,,
4,sofi/a,sofi/a,noun,Wisdom of Solomon,1,6,,,,,nominative,singular,feminine,
4,ou)de\,ou)de/,particle,Wisdom of Solomon,1,7,,,,indicative,,,,
4,katoikh/sei,kat·oi/khsis,noun,Wisdom of Solomon,1,8,,,,,dative,singular,feminine,
4,e)n,e)n,preposition,Wisdom of Solomon,1,9,,,,indicative,,,,
4,sw/mati,sw=ma[t],noun,Wisdom of Solomon,1,10,,,,,dative,singular,neuter,
4,a(marti/as,a(·marti/a,noun,Wisdom of Solomon,1,11,,,,,genitive,singular,feminine,
5,a(/gion,a(/gios,adjective,Wisdom of Solomon,1,1,,,,,,,,
5,ga\r,ga/r,conjunction,Wisdom of Solomon,1,2,,,,indicative,,,,
5,pneu=ma,pneu=ma[t],noun,Wisdom of Solomon,1,3,,,,,nominative,singular,neuter,
5,paidei/as,paidei/a,noun,Wisdom of Solomon,1,4,,,,,genitive,singular,feminine,
5,feu/cetai,feu/gw,verb,Wisdom of Solomon,1,5,2.0,,,,,,,
5,do/lon,do/los,noun,Wisdom of Solomon,1,6,,,,,accusative,singular,masculine,
5,kai\,kai/,conjunction,Wisdom of Solomon,1,7,,,,indicative,,,,
