verse,wordform,lemma,pos,book,chapter,word_order,person,tense,voice,mood,case,number,gender,degree
1,e)n,e)n,preposition,Zechariah,1,1,,,,indicative,,,,
1,tw=|,o(,article,Zechariah,1,2,,,,,dative,singular,neuter,
1,o)gdo/w|,o)/gdoos,quantifier,Zechariah,1,3,,,,,dative,singular,neuter,
1,mhni\,mh=nis,noun,Zechariah,1,4,,,,,,,,
1,e)/tous,e)/to·s,noun,Zechariah,1,5,,,,,genitive,singular,neuter,
1,deute/rou,deu/teros,quantifier,Zechariah,1,6,,,,,genitive,singular,neuter,
1,e)pi\,e)pi/,preposition,Zechariah,1,7,,,,indicative,,,,
1,e)ge/neto,gi/nomai/gi/gn-,verb,Zechariah,1,8,2.0,,,,,,,
1,lo/gos,lo/gos,noun,Zechariah,1,9,,,,,nominative,singular,masculine,
1,kuri/ou,ku/rios[2],noun,Zechariah,1,10,,,,,vocative,plural,,
1,pro\s,pro/s,preposition,Zechariah,1,11,,,,indicative,,,,
1,*zaxarian,*zaxari/as,noun,Zechariah,1,12,,,,,accusative,singular,masculine,
1,to\n,o(,article,Zechariah,1,13,,,,,accusative,singular,masculine,
1,tou=,o(,article,Zechariah,1,14,,,,,genitive,singular,neuter,
1,*baraxiou,*baraxi/as,noun,Zechariah,1,15,,,,,genitive,singular,masculine,
1,ui(o\n,ui(o/s,noun,Zechariah,1,16,,,,,vocative,plural,,
1,to\n,o(,article,Zechariah,1,17,,,,,accusative,singular,masculine,
1,profh/thn,profh/ths,noun,Zechariah,1,18,,,,,accusative,singular,masculine,
1,le/gwn,le/gw,verb,Zechariah,1,19,2.0,,,,,,,
2,w)rgi/sqh,o)rgi/zw,verb,Zechariah,1,1,3.0,aorist,passive,indicative,,singular,,
2,ku/rios,ku/rios[2],noun,Zechariah,1,2,,,,,vocative,plural,,
2,e)pi\,e)pi/,preposition,Zechariah,1,3,,,,indicative,,,,
2,tou\s,o(,article,Zechariah,1,4,,,,,accusative,plural,masculine,
2,pate/ras,path/r,noun,Zechariah,1,5,,,,,vocative,plural,,
2,u(mw=n,su/,pronoun,Zechariah,1,6,,,,,genitive,plural,,
