verse,wordform,lemma,pos,book,chapter,word_order,person,tense,voice,mood,case,number,gender,degree
1,lo/gos,lo/gos,noun,Zephaniah,1,1,,,,,nominative,singular,masculine,
1,kuri/ou,ku/rios[2],noun,Zephaniah,1,2,,,,,vocative,plural,,
1,o(\s,o(/s,pronoun,Zephaniah,1,3,,,,,nominative,singular,masculine,
1,e)genh/qh,gi/nomai/gi/gn-,verb,Zephaniah,1,4,2.0,,,,,,,
1,pro\s,pro/s,preposition,Zephaniah,1,5,,,,indicative,,,,
1,to\n,o(,article,Zephaniah,1,6,,,,,accusative,singular,masculine,
1,tou=,o(,article,Zephaniah,1,7,,,,,genitive,singular,neuter,
1,*xousi,xou=s,noun,Zephaniah,1,8,,,,,dative,plural,masculine,
1,ui(o\n,ui(o/s,noun,Zephaniah,1,9,,,,,vocative,plural,,
1,tou=,o(,article,Zephaniah,1,10,,,,,genitive,singular,neuter,
1,tou=,o(,article,Zephaniah,1,11,,,,,genitive,singular,neuter,
1,*ezekiou,*(ezeki/as,noun,Zephaniah,1,12,,,,,genitive,singular,masculine,
1,e)n,e)n,preposition,Zephaniah,1,13,,,,indicative,,,,
1,h(me/rais,h(me/ra,noun,Zephaniah,1,14,,,,,dative,plural,feminine,
1,*iwsiou,*)iwsi/as,noun,Zephaniah,1,15,,,,,genitive,singular,masculine,
1,ui(ou=,ui(o/s,noun,Zephaniah,1,16,,,,,vocative,plural,,
1,*amwn,*)amw/n,noun,Zephaniah,1,17,,,,indicative,,,masculine,
1,basile/ws,basileu/s,noun,Zephaniah,1,18,,,,,genitive,singular,masculine,
1,*iouda,*)iou/das,noun,Zephaniah,1,19,,,,,,,,
2,e)klei/yei,e)k·lei/pw,verb,Zephaniah,1,1,2.0,,,,,,,
2,e)klipe/tw,e)k·lei/pw,verb,Zephaniah,1,2,2.0,,,,,,,
2,pa/nta,pa=[nt]s,quantifier,Zephaniah,1,3,,,,,genitive,singular,,
2,a)po\,a)po/,preposition,Zephaniah,1,4,,,,indicative,,,,
2,prosw/pou,pro/s·wpon,noun,Zephaniah,1,5,,,,,genitive,singular,neuter,
2,th=s,o(,article,Zephaniah,1,6,,,,,genitive,singular,feminine,
2,gh=s,gh=,noun,Zephaniah,1,7,,,,,vocative,singular,,
2,le/gei,le/gw,verb,Zephaniah,1,8,2.0,,,,,,,
2,ku/rios,ku/rios[2],noun,Zephaniah,1,9,,,,,vocative,plural,,
3,e)klipe/tw,e)k·lei/pw,verb,Zephaniah,1,1,2.0,,,,,,,
3,a)/nqrwpos,a)/nqrwpos,noun,Zephaniah,1,2,,,,,nominative,singular,masculine,
3,kai\,kai/,conjunction,Zephaniah,1,3,,,,indicative,,,,
3,kth/nh,kth=no·s,noun,Zephaniah,1,4,,,,,nominative,plural,neuter,
3,e)klipe/tw,e)k·lei/pw,verb,Zephaniah,1,5,2.0,,,,,,,
3,ta\,o(,article,Zephaniah,1,6,,,,,nominative,plural,neuter,
3,peteina\,peteino/n,noun,Zephaniah,1,7,,,,,nominative,plural,neuter,
3,tou=,o(,article,Zephaniah,1,8,,,,,genitive,singular,neuter,
3,ou)ranou=,ou)rano/s,noun,Zephaniah,1,9,,,,,vocative,plural,,
3,kai\,kai/,conjunction,Zephaniah,1,10,,,,indicative,,,,
3,oi(,o(,article,Zephaniah,1,11,,,,,nominative,plural,masculine,
3,i)xqu/es,i)xqu/s,noun,Zephaniah,1,12,,,,,nominative,plural,masculine,
3,th=s,o(,article,Zephaniah,1,13,,,,,genitive,singular,feminine,
3,qala/sshs,qa/lassa,noun,Zephaniah,1,14,,,,,genitive,singular,feminine,
3,kai\,kai/,conjunction,Zephaniah,1,15,,,,indicative,,,,
3,e)carw=,e)c·ai/rw,verb,Zephaniah,1,16,2.0,,,,,,,
3,tou\s,o(,article,Zephaniah,1,17,,,,,accusative,plural,masculine,
3,a)nqrw/pous,a)/nqrwpos,noun,Zephaniah,1,18,,,,,accusative,plural,masculine,
3,a)po\,a)po/,preposition,Zephaniah,1,19,,,,indicative,,,,
3,prosw/pou,pro/s·wpon,noun,Zephaniah,1,20,,,,,genitive,singular,neuter,
3,th=s,o(,article,Zephaniah,1,21,,,,,genitive,singular,feminine,
3,gh=s,gh=,noun,Zephaniah,1,22,,,,,vocative,singular,,
3,le/gei,le/gw,verb,Zephaniah,1,23,2.0,,,,,,,
3,ku/rios,ku/rios[2],noun,Zephaniah,1,24,,,,,vocative,plural,,
4,kai\,kai/,conjunction,Zephaniah,1,1,,,,indicative,,,,
4,e)ktenw=,e)k·tei/nw,verb,Zephaniah,1,2,1.0,future,active,indicative,,singular,,
4,th\n,o(,article,Zephaniah,1,3,,,,,accusative,singular,feminine,
4,xei=ra/,xei/r,noun,Zephaniah,1,4,,,,,dative,plural,,
4,mou,e)gw/,pronoun,Zephaniah,1,5,,,,,genitive,singular,,
4,e)pi\,e)pi/,preposition,Zephaniah,1,6,,,,indicative,,,,
4,*ioudan,*)iou/das,noun,Zephaniah,1,7,,,,,,,,
4,kai\,kai/,conjunction,Zephaniah,1,8,,,,indicative,,,,
4,e)pi\,e)pi/,preposition,Zephaniah,1,9,,,,indicative,,,,
4,pa/ntas,pa=[nt]s,quantifier,Zephaniah,1,10,,,,,genitive,singular,,
4,tou\s,o(,article,Zephaniah,1,11,,,,,accusative,plural,masculine,
4,katoikou=ntas,kat·oike/w,verb,Zephaniah,1,12,,present,active,participle,accusative,plural,masculine,
4,*ierousalhm,*(ieroso/luma,noun,Zephaniah,1,13,,,,,,,,
4,kai\,kai/,conjunction,Zephaniah,1,14,,,,indicative,,,,
4,e)carw=,e)c·ai/rw,verb,Zephaniah,1,15,2.0,,,,,,,
4,e)k,e)k,preposition,Zephaniah,1,16,,,,indicative,,,,
4,tou=,o(,article,Zephaniah,1,17,,,,,genitive,singular,neuter,
4,to/pou,to/pos,noun,Zephaniah,1,18,,,,,genitive,singular,masculine,
4,tou/tou,ou(=tos,determiner,Zephaniah,1,19,,,,,genitive,singular,neuter,
4,ta\,o(,article,Zephaniah,1,20,,,,,nominative,plural,neuter,
4,o)no/mata,o)/noma[t],noun,Zephaniah,1,21,,,,,nominative,plural,neuter,
4,th=s,o(,article,Zephaniah,1,22,,,,,genitive,singular,feminine,
4,*baal,*ba/al,noun,Zephaniah,1,23,,,,indicative,,,masculine,
4,kai\,kai/,conjunction,Zephaniah,1,24,,,,indicative,,,,
4,ta\,o(,article,Zephaniah,1,25,,,,,nominative,plural,neuter,
4,o)no/mata,o)/noma[t],noun,Zephaniah,1,26,,,,,nominative,plural,neuter,
4,tw=n,o(,article,Zephaniah,1,27,,,,,genitive,plural,neuter,
4,i(ere/wn,i(ereu/s,noun,Zephaniah,1,28,,,,,genitive,plural,masculine,
5,kai\,kai/,conjunction,Zephaniah,1,1,,,,indicative,,,,
5,tou\s,o(,article,Zephaniah,1,2,,,,,accusative,plural,masculine,
5,proskunou=ntas,pros·kune/w,verb,Zephaniah,1,3,,present,active,participle,accusative,plural,masculine,
5,e)pi\,e)pi/,preposition,Zephaniah,1,4,,,,indicative,,,,
5,ta\,o(,article,Zephaniah,1,5,,,,,nominative,plural,neuter,
5,dw/mata,dw=ma[t],noun,Zephaniah,1,6,,,,,,,,
5,th=|,o(,article,Zephaniah,1,7,,,,,dative,singular,feminine,
5,stratia=|,stratia/,noun,Zephaniah,1,8,,,,,,,,
5,tou=,o(,article,Zephaniah,1,9,,,,,genitive,singular,neuter,
5,ou)ranou=,ou)rano/s,noun,Zephaniah,1,10,,,,,vocative,plural,,
5,kai\,kai/,conjunction,Zephaniah,1,11,,,,indicative,,,,
5,tou\s,o(,article,Zephaniah,1,12,,,,,accusative,plural,masculine,
5,o)mnu/ontas,o)mnu/w,verb,Zephaniah,1,13,,present,active,participle,accusative,plural,masculine,
5,kata\,kata/,preposition,Zephaniah,1,14,,,,indicative,,,,
5,tou=,o(,article,Zephaniah,1,15,,,,,genitive,singular,neuter,
5,kuri/ou,ku/rios[2],noun,Zephaniah,1,16,,,,,vocative,plural,,
5,kai\,kai/,conjunction,Zephaniah,1,17,,,,indicative,,,,
5,tou\s,o(,article,Zephaniah,1,18,,,,,accusative,plural,masculine,
5,o)mnu/ontas,o)mnu/w,verb,Zephaniah,1,19,,present,active,participle,accusative,plural,masculine,
5,kata\,kata/,preposition,Zephaniah,1,20,,,,indicative,,,,
5,tou=,o(,article,Zephaniah,1,21,,,,,genitive,singular,neuter,
5,basile/ws,basileu/s,noun,Zephaniah,1,22,,,,,genitive,singular,masculine,
5,au)tw=n,au)to/s,pronoun,Zephaniah,1,23,,,,,genitive,plural,feminine,
6,kai\,kai/,conjunction,Zephaniah,1,1,,,,indicative,,,,
6,tou\s,o(,article,Zephaniah,1,2,,,,,accusative,plural,masculine,
6,e)kkli/nontas,e)k·kli/nw,verb,Zephaniah,1,3,,present,active,participle,accusative,plural,masculine,
6,a)po\,a)po/,preposition,Zephaniah,1,4,,,,indicative,,,,
6,tou=,o(,article,Zephaniah,1,5,,,,,genitive,singular,neuter,
6,kuri/ou,ku/rios[2],noun,Zephaniah,1,6,,,,,vocative,plural,,
6,kai\,kai/,conjunction,Zephaniah,1,7,,,,indicative,,,,
6,tou\s,o(,article,Zephaniah,1,8,,,,,accusative,plural,masculine,
6,mh\,mh/,particle,Zephaniah,1,9,,,,indicative,,,,
6,zhth/santas,zhte/w,verb,Zephaniah,1,10,,aorist,active,participle,accusative,plural,masculine,
6,to\n,o(,article,Zephaniah,1,11,,,,,accusative,singular,masculine,
6,ku/rion,ku/rios[2],noun,Zephaniah,1,12,,,,,vocative,plural,,
6,kai\,kai/,conjunction,Zephaniah,1,13,,,,indicative,,,,
6,tou\s,o(,article,Zephaniah,1,14,,,,,accusative,plural,masculine,
6,mh\,mh/,particle,Zephaniah,1,15,,,,indicative,,,,
6,a)ntexome/nous,a)nt·e/xw,verb,Zephaniah,1,16,2.0,,,,,,,
6,tou=,o(,article,Zephaniah,1,17,,,,,genitive,singular,neuter,
6,kuri/ou,ku/rios[2],noun,Zephaniah,1,18,,,,,vocative,plural,,
7,eu)labei=sqe,eu)·labe/omai,verb,Zephaniah,1,1,2.0,present,middle,indicative,,plural,,
7,a)po\,a)po/,preposition,Zephaniah,1,2,,,,indicative,,,,
7,prosw/pou,pro/s·wpon,noun,Zephaniah,1,3,,,,,genitive,singular,neuter,
7,kuri/ou,ku/rios[2],noun,Zephaniah,1,4,,,,,vocative,plural,,
7,tou=,o(,article,Zephaniah,1,5,,,,,genitive,singular,neuter,
7,qeou=,qeo/s,noun,Zephaniah,1,6,,,,,genitive,singular,masculine,
7,dio/ti,di·o/ti,conjunction,Zephaniah,1,7,,,,indicative,,,,
7,e)ggu\s,e)ggu/s,adverb,Zephaniah,1,8,,,,indicative,,,,
7,h(,o(,article,Zephaniah,1,9,,,,,nominative,singular,feminine,
7,h(me/ra,h(me/ra,noun,Zephaniah,1,10,,,,,nominative,singular,feminine,
7,tou=,o(,article,Zephaniah,1,11,,,,,genitive,singular,neuter,
7,kuri/ou,ku/rios[2],noun,Zephaniah,1,12,,,,,vocative,plural,,
7,o(/ti,o(/ti,conjunction,Zephaniah,1,13,,,,indicative,,,,
7,h(toi/maken,e(toima/zw,verb,Zephaniah,1,14,3.0,perfect,active,indicative,,singular,,
7,ku/rios,ku/rios[2],noun,Zephaniah,1,15,,,,,vocative,plural,,
7,th\n,o(,article,Zephaniah,1,16,,,,,accusative,singular,feminine,
7,qusi/an,qusi/a,noun,Zephaniah,1,17,,,,,accusative,singular,feminine,
7,au)tou=,au)to/s,pronoun,Zephaniah,1,18,,,,,genitive,singular,masculine,
7,h(gi/aken,a(gia/zw,verb,Zephaniah,1,19,3.0,perfect,active,indicative,,singular,,
7,tou\s,o(,article,Zephaniah,1,20,,,,,accusative,plural,masculine,
7,klhtou\s,klhto/s,adjective,Zephaniah,1,21,,,,,accusative,plural,masculine,
7,au)tou=,au)to/s,pronoun,Zephaniah,1,22,,,,,genitive,singular,masculine,
8,kai\,kai/,conjunction,Zephaniah,1,1,,,,indicative,,,,
8,e)/stai,ei)mi/[1],verb,Zephaniah,1,2,,,,,,,,
8,e)n,e)n,preposition,Zephaniah,1,3,,,,indicative,,,,
8,h(me/ra|,h(me/ra,noun,Zephaniah,1,4,,,,,dative,singular,feminine,
8,qusi/as,qusi/a,noun,Zephaniah,1,5,,,,,genitive,singular,feminine,
8,kuri/ou,ku/rios[2],noun,Zephaniah,1,6,,,,,vocative,plural,,
8,kai\,kai/,conjunction,Zephaniah,1,7,,,,indicative,,,,
8,e)kdikh/sw,e)k·dike/w,verb,Zephaniah,1,8,1.0,future,active,indicative,,singular,,
8,e)pi\,e)pi/,preposition,Zephaniah,1,9,,,,indicative,,,,
8,tou\s,o(,article,Zephaniah,1,10,,,,,accusative,plural,masculine,
8,a)/rxontas,a)/rxwn[t],noun,Zephaniah,1,11,,,,,dative,plural,,
8,kai\,kai/,conjunction,Zephaniah,1,12,,,,indicative,,,,
