lemma_id,lemma_text,lemma_short_def
1,a)a/atos,"not to be injured, inviolable"
2,a)agh/s,"unbroken, not to be broken, hard, strong"
3,a)/aptos,"not to be touched, resistless, invincible"
4,a)/atos,insatiate
5,a)a/w,"to hurt, damage"
6,a)bake/w,to be speechless
7,a)bakh/s,"speechless, infantine"
8,a)ba/kxeutos,uninitiated in the Bacchic orgies
9,a)/bale,O that!
10,a)barh/s,without weight: not burdensome
11,a)basa/nistos,"not examined by torture, untortured"
12,a)basi/leutos,not ruled by a king
13,a)ba/skantos,not subject to enchantment
14,a)ba/staktos,not to be carried
15,a)/batos,"untrodden, impassable, inaccessible"
16,*)abba=,father
17,*)abdhri/ths,a man of Abdera
18,*)abdhritiko/s,like an Abderite
19,a)be/baios,"uncertain, unsteady"
20,a)be/bhlos,"not profane, inviolable"
21,a)belteri/a,"silliness, stupidity, fatuity"
22,a)be/lteros,"good for nothing, silly, stupid, fatuous"
23,a)bi/astos,"unforced, without violence"
24,a)/bios,"without a living, starving"
25,a)bi/wtos,"not to be lived, insupportable"
26,a)bla/beia,freedom from harm
27,a)blabh/s,without harm
29,a)blh/s,not thrown
30,a)/blhtos,not hit
31,a)blhxh/s,without bleatings
32,a)blhxro/s,"weak, feeble"
33,a)blhxrw/dhs,
34,a)boh/qhtos,helpless
35,a)bohti/,without summons
36,a)bo/htos,not loudly lamented
37,a)bo/skhtos,ungrazed
38,a)bouko/lhtos,untended by herdsmen
39,a)boule/w,to be unwilling
40,a)bouli/a,"want of counsel, thoughtlessness"
42,a)bou/ths,without oxen
43,a)briqh/s,of no weight
44,a(broba/ths,softly
45,a(bro/bios,"living delicately, effeminate"
46,a(bro/goos,wailing womanishly
47,a(brodi/aitos,living delicately
48,a(broko/mhs,with delicate
49,a)bro/mios,without Bacchus
50,a)/bromos,"very noisy, boisterous"
51,a(brope/dilos,with soft sandals
52,a(bro/phnos,of delicate texture
53,a(bro/ploutos,richly luxuriant
54,a(bro/s,"delicate, graceful, beauteous, pretty"
55,a)brota/zw,to miss
56,a(bro/ths,"delicacy, luxury"
57,a(bro/timos,delicate and costly
58,a)/brotos,"immortal, divine, holy"
59,a(broxi/twn,"in soft tunic, softly clad"
60,a)/broxos,"unwetted, unmoistened"
61,a(bru/nw,"to make delicate, treat delicately"
62,*)abudo/qen,from Abydos
63,*)abudo/qi,at Abydos
64,*)/abudos,Abydos
65,a)/bussos,"with no bottom, bottomless, unfathomed"
66,a)gaqoeidh/s,seeming good
67,a)gaqoerge/w,to do good
68,a)gaqoergi/a,"a good deed, service rendered"
69,a)gaqoergo/s,doing good
70,a)gaqopoie/w,to do good
71,a)gaqopoii/a,well doing
72,a)gaqopoio/s,"doing good, beneficent"
73,a)gaqo/s,good
74,a)gaqwsu/nh,"goodness, kindness"
75,a)gai/omai,to be indignant at
76,a)gakleh/s,"very glorious, famous"
77,a)gakleito/s,
78,a)gakluto/s,
80,a)ga/laktos,"without milk, getting no milk"
81,a)galli/asis,"great joy, exultation"
82,a)gallia/w,to rejoice exceedingly
83,a)galli/s,the iris
84,a)ga/llw,"to make glorious, glorify, exalt"
85,a)/galma,"a glory, delight, honour"
86,a)galmatopoio/s,"a maker of statues, a sculptor, statuary"
87,a)/gamai,"to wonder, be astonished"
88,*)agamemno/neos,of
89,*)agamemnoni/dhs,Agamemnon's son
90,*)agame/mnwn,the very steadfast
91,a)game/nws,"with admiration, respect"
92,a)gami/a,celibacy
93,a)/gamos,"unmarried, unwedded, single"
94,a)ganakte/w,to feel irritation
95,a)gana/kthsis,irritation
96,a)ganakthtiko/s,irritable
97,a)ganakthto/s,irritating
100,a)gano/s,"mild, gentle, kindly"
101,a)ganofrosu/nh,"gentleness, kindliness"
102,a)gano/frwn,gentle of mood
103,a)/gan,"very, much, very much"
104,a)ga/omai,admiring
105,a)gapa/zw,"to treat with affection, shew affection to"
106,a)gapa/w,"to treat with affection, to caress, love, be fond of"
107,a)ga/phma,"a delight, darling"
108,a)gaph/nwr,"loving manliness, manly"
109,a)ga/ph,love
110,a)gaphte/os,"to be loved, desired"
111,a)gaphtiko/s,affectionate
112,a)gaphto/s,beloved
113,a)gapw/ntws,
115,a)ga/stonos,"much groaning, howling"
116,a)gasto/s,deserving admiration
117,a)gauo/s,"illustrious, noble"
118,a)gauro/s,"stately, proud"
119,a)ggareu/w,to press
121,a)/ggaros,a mounted courier
122,a)ggei=on,
123,a)ggeli/a,"a message, tidings, news"
124,a)ggeli/arxos,
125,a)ggeliafo/ros,a messenger
126,a)ggeliw/ths,
127,a)gge/llw,to bear a message
128,a)/ggelma,"a message, tidings, news"
129,a)/ggelos,"a messenger, envoy"
130,a)/ggos,a vessel
131,a)gei/rw,"to bring together, gather together"
132,a)gei/twn,"without neighbour, neighbourless"
133,a)gelai=os,"belonging to a herd, feeding at large"
134,a)gelarxe/w,to lead a company
135,a)gela/rxhs,"the leader of a company, captain"
136,a)gelasti/,without laughter
137,a)ge/lastos,"not laughing, grave, gloomy, sullen"
138,a)gelei/h,"driver of spoil, forager"
139,a)gelhdo/n,in herds
140,a)ge/lh,a herd
141,a)genealo/ghtos,of unrecorded descent
142,a)ge/neios,beardless
143,a)ge/nhtos,"unborn, uncreated, unoriginated"
145,a)ge/nnhtos,"unbegotten, unborn"
146,a)/ge,come! come on! well!
147,a)ge/rastos,"without a gift of honour, unrecompensed, unrewarded"
148,a)/gersis,"a gathering, mustering"
151,a)/geustos,"without taste of, fasting from"
152,a(ghlate/w,to drive out a curse
153,a)/ghma,"anything led, a division"
154,a)ghnori/a,"manliness, manhood, courage"
155,a)gh/nwr,"manly, courageous, heroic"
156,a)/gh,"wonder, awe, amazement"
157,a)gh/,"a fragment, piece, splinter"
158,a)gh/raos,"not waxing old, undecaying"
159,a)ghsi/laos,"leader of people, conductor of men"
160,a)ghsi/xoros,leading the chorus
161,a)ghto/s,"admirable, wondrous"
162,a(giasmo/s,"consecration, sanctification"
163,a(gi/zw,"to hallow, dedicate"
164,a)gine/w,"to lead, bring, carry"
165,a(/gios,"devoted to the gods, sacred, holy"
167,a(gisteu/w,to perform sacred rites
168,a(giwsu/nh,"holiness, sanctity"
169,a)gka/zomai,to lift up in the arms
170,a)/gkaqen,in the arms
171,a)gka/lh,the bent arm
172,a)gkali/zomai,to embrace
173,a)gka/lisma,that which is embraced
174,a)/gkalos,"an armful, bundle"
175,a)gka/s,in
177,a)gkistro/detos,with a hook
179,a)gkistro/omai,to be furnished with barbs
180,a)gkoi/nh,the bent arm
181,a)/gkos,a bend
182,a)gku/lh,a loop
183,a)gku/lion,ancilia
184,a)gkuloglw/xin,with hooked spurs
186,a)gkulomh/ths,"crooked of counsel, wily"
187,a)gkulo/pous,with bent legs
188,a)gku/los,"crooked, curved"
189,a)gkulo/tocos,with curved bow
190,a)gkuloxei/lhs,with hooked beak
191,a)gkuloxh/lhs,with crooked claws
192,a)gkulo/w,"to crook, bend"
193,a)gkulwto/s,furnished with a thong
194,a)/gkura,anchor
196,a)gku/rion,a small anchor
197,a)gkw/n,"the bend of the arm, the elbow"
199,a)glai/a,"splendour, beauty, adornment"
200,a)glai/zw,to make bright
201,a)gla/isma,"an ornament, honour"
202,a)glao/guios,with beauteous limbs
203,a)glao/dendros,with beautiful trees
204,a)glao/dwros,giving splendid gifts
206,a)glao/karpos,bearing beautiful
207,a)glao/morfos,of beauteous form
208,a)glao/s,"splendid, shining, bright, beautiful"
209,a)glaotriai/nhs,god of the bright trident
211,a)/glis,a head of garlic
212,a)/glwssos,without tongue
213,a)=gma,a fragment
214,a)gmo/s,"a broken cliff, crag"
215,a)/gnamptos,"unbending, inflexible"
216,a)/gnafos,uncarded
217,a(gnei/a,"purity, chastity"
218,a(/gneuma,chastity
219,a(gneu/w,"to consider as part of purity, make it a point of religion"
