lemma,gender,declension,gs,gs_other
a)poka/luyis,feminine,3.0,a)pokalu/yews,
*)ihsou=s,masculine,3.0,*)ihsou=,
*xristo/s,masculine,2.0,*xristou=,
qeo/s,masculine,2.0,qeou=,
dou=los,masculine,2.0,dou/lou,
ta/xos,neuter,3.0,ta/xous,ta/xei
a)/ggelos,masculine,2.0,a)gge/lou,
*)iwa/nnhs,masculine,1.0,*)iwa/nnou,
lo/gos,masculine,2.0,lo/gou,
marturi/a,feminine,1.0,marturi/as,
profhtei/a,feminine,1.0,profhtei/as,
kairo/s,masculine,2.0,kairou=,
e)kklhsi/a,feminine,1.0,e)kklhsi/as,
*)asi/a,feminine,1.0,*)asi/as,
xa/ris,feminine,3.0,xa/ritos,
ei)rh/nh,feminine,1.0,ei)rh/nhs,
pneu=ma,neuter,3.0,pneu/matos,
qro/nos,masculine,2.0,qro/nou,
ma/rtus,masculine,3.0,ma/rturos,
a)/rxwn,masculine,3.0,a)/rxontos,
basileu/s,masculine,3.0,basile/ws,
gh=,feminine,1.0,gh=s,
a(marti/a,feminine,1.0,a(marti/as,
ai(=ma,neuter,3.0,ai(/matos,
basilei/a,feminine,1.0,basilei/as,
i(ereu/s,masculine,3.0,i(ere/ws,
path/r,masculine,3.0,patro/s,
do/ca,feminine,1.0,do/chs,
kra/tos,neuter,3.0,kra/tous,
ai)w/n,masculine,3.0,ai)w=nos,
nefe/lh,feminine,1.0,nefe/lhs,
o)fqalmo/s,masculine,2.0,o)fqalmou=,
fulh/,feminine,1.0,fulh=s,
*)/alfa,neuter,3.0,,
*)=w,neuter,3.0,,
ku/rios,masculine,2.0,kuri/ou,
pantokra/twr,masculine,3.0,pantokra/toros,
a)delfo/s,masculine,2.0,a)delfou=,
sugkoinwno/s,masculine,2.0,sugkoinwnou=,sugkoinwnou/s
qli=yis,feminine,3.0,qli/yews,
u(pomonh/,feminine,1.0,u(pomonh=s,
nh=sos,feminine,2.0,nh/sou,
*pa/tmos,feminine,2.0,*pa/tmou,*pa/tmw|
h(me/ra,feminine,1.0,h(me/ras,
fwnh/,feminine,1.0,fwnh=s,
sa/lpigc,feminine,3.0,sa/lpiggos,
bibli/on,neuter,2.0,bibli/ou,
*)/efesos,feminine,2.0,*)efe/sou,
*smu/rna,feminine,1.0,*smu/rnhs,"*smu/rnan, *smu/rnh|"
*pe/rgamos,feminine,2.0,*perga/mou,"*pe/rgamon, *perga/mw|"
*qua/teira,neuter,1.0,,"*qua/teira, *quatei/rois, *quatei/rwn"
*sa/rdeis,feminine,3.0,*sa/rdewn,"*sa/rdeis, *sa/rdesi(n)"
*filade/lfeia,feminine,1.0,*filadelfei/as,"*filade/lfeian, *filadelfei/a|"
*laodi/keia,feminine,1.0,*laodikei/as,
luxni/a,feminine,1.0,luxni/as,
ui(o/s,masculine,2.0,ui(ou=,
a)/nqrwpos,masculine,2.0,a)nqrw/pou,
masto/s,masculine,2.0,mastou=,
zw/nh,feminine,1.0,zw/nhs,
kefalh/,feminine,1.0,kefalh=s,
qri/c,feminine,3.0,trixo/s,"tri/xes, tri/xas, qrici/(n), trixw=n, tri/xa"
e)/rion,neuter,2.0,e)ri/ou,
xiw/n,feminine,3.0,,
flo/c,feminine,3.0,flogo/s,
pu=r,neuter,3.0,puro/s,
pou/s,masculine,3.0,podo/s,
xalkoli/banon,neuter,2.0,xalkoliba/nou,xalkoliba/nw|
ka/minos,feminine,2.0,kami/nou,
u(/dwr,neuter,3.0,u(/datos,
xei/r,feminine,3.0,xeiro/s,
a)sth/r,masculine,3.0,a)ste/ros,
sto/ma,neuter,3.0,sto/matos,
r(omfai/a,feminine,1.0,r(omfai/as,"r(omfai/an, r(omfai/a|"
o)/yis,feminine,3.0,o)/yews,
h(/lios,masculine,2.0,h(li/ou,
du/namis,feminine,3.0,duna/mews,
klei/s,feminine,3.0,kleido/s,"klei=s, klei=n, klei=da, klei=das"
qa/natos,masculine,2.0,qana/tou,
a(/|dhs,masculine,1.0,a(/|dou,
musth/rion,neuter,2.0,musthri/ou,
e)/rgon,neuter,2.0,e)/rgou,
ko/pos,masculine,2.0,ko/pou,
a)po/stolos,masculine,2.0,a)posto/lou,
o)/noma,neuter,3.0,o)no/matos,
a)ga/ph,feminine,1.0,a)ga/phs,
to/pos,masculine,2.0,to/pou,
*nikolai/+ths,masculine,1.0,*nikolai/+tou,*nikolai+tw=n
ou)=s,neuter,3.0,w)to\s,
cu/lon,neuter,2.0,cu/lou,
zwh/,feminine,1.0,zwh=s,
para/deisos,masculine,2.0,paradei/sou,
ptwxei/a,feminine,1.0,ptwxei/as,
blasfhmi/a,feminine,1.0,blasfhmi/as,
sunagwgh/,feminine,1.0,sunagwgh=s,
*satana=s,masculine,3.0,*satana=,
fulakh/,feminine,1.0,fulakh=s,
ste/fanos,masculine,2.0,stefa/nou,"ste/fanon, stefa/nous, ste/fanoi, ste/fanos"
pi/stis,feminine,3.0,pi/stews,
*)antipa=s,masculine,1.0,,
didaxh/,feminine,1.0,didaxh=s,
*balaa/m,masculine,3.0,*balaa/m,
*bala/k,masculine,3.0,*bala/k,*bala/k
ska/ndalon,neuter,2.0,skanda/lou,
*)israh/l,masculine,3.0,*)israh/l,
ma/nna,neuter,3.0,ma/nna,
yh=fos,feminine,2.0,yh/fou,yh=fon
diakoni/a,feminine,1.0,diakoni/as,
gunh/,feminine,3.0,gunaiko/s,
*)ieza/bel,feminine,3.0,*)ieza/bel,*)ieza/bel
profh=tis,feminine,3.0,profh/tidos,profh=tin
xro/nos,masculine,2.0,xro/nou,
pornei/a,feminine,1.0,pornei/as,
kli/nh,feminine,1.0,kli/nhs,
te/knon,neuter,2.0,te/knou,
nefro/s,masculine,2.0,nefrou=,nefrou/s
kardi/a,feminine,1.0,kardi/as,
ba/ros,neuter,3.0,ba/rous,"ba/ros, ba/rei, ba/rh"
te/los,neuter,3.0,te/lous,
e)cousi/a,feminine,1.0,e)cousi/as,
e)/qnos,neuter,3.0,e)/qnous,
r(a/bdos,feminine,2.0,r(a/bdou,
skeu=os,neuter,3.0,skeu/ous,"skeu/h, skeu=os, skeu/ei, skeu/esi(n)"
kle/pths,masculine,1.0,kle/ptou,
w(/ra,feminine,1.0,w(/ras,
i(ma/tion,neuter,2.0,i(mati/ou,
bi/blos,feminine,2.0,bi/blou,
*daui/d,masculine,3.0,*daui/d,
qu/ra,feminine,1.0,qu/ras,
peirasmo/s,masculine,2.0,peirasmou=,
oi)koume/nh,feminine,1.0,oi)koume/nhs,
stu=los,masculine,2.0,stu/lou,
nao/s,masculine,2.0,naou=,
po/lis,feminine,3.0,po/lews,
*)ierousalh/m,feminine,3.0,*)ierousalh/m,
ou)rano/s,masculine,2.0,ou)ranou=,
a)rxh/,feminine,1.0,a)rxh=s,
kti/sis,feminine,3.0,kti/sews,
xrei/a,feminine,1.0,xrei/as,
xrusi/on,neuter,2.0,xrusi/ou,
ai)sxu/nh,feminine,1.0,ai)sxu/nhs,
gumno/ths,feminine,3.0,gumno/thtos,
kollou/rion,neuter,2.0,kollouri/ou,kollou/rion
o(/rasis,feminine,3.0,o(ra/sews,
li/qos,masculine,2.0,li/qou,
i)/aspis,feminine,3.0,i)a/spidos,i)a/spidi
sa/rdion,neuter,2.0,sardi/ou,
i)=ris,feminine,3.0,,
a)straph/,feminine,1.0,a)straph=s,
bronth/,feminine,1.0,bronth=s,
lampa/s,feminine,1.0,lampa/dos,"lampa/des, lampa/dwn, lampa/das"
qa/lassa,feminine,1.0,qala/sshs,
