lemma,verb_type,pp2,pp2_other,pp3,pp3_other,pp4,pp4_other,pp5,pp5_other,pp6,pp6_other
di/dwmi,mi,dw/sw,,e)/dwka,,de/dwka,,de/domai,"de/dotai, dedome/non, dedome/nhn",e)do/qhn,"e)do/qh, e)do/qhsan, doqh/setai, doqh=nai, doqei/sh|, doqei=san, doqe/ntos, doqei/shs, doqei=sa, doqh=|"
dei/knumi,mi,dei/cw,,e)/deica,,,,,,e)dei/xqhn,deixqe/nta
de/w,w,dh/sw,dh/sousi(n),e)/dhsa,"e)/dhse(n), e)/dhsan, dh=sai, dh/sas, dh/sh|, dh/santes, dh/sate, dh/sh|s, dh/shte",de/deka,dedekw/s,de/demai,,e)deh/qhn,
gi/nomai,w,genh/somai,"genh/setai, genhso/menon, genh/sesqe, genh/sontai",e)geno/mhn,,ge/gona,,gege/nhmai,"gegenhme/non, gegenh=sqai",e)genh/qhn,
shmai/nw,w,,,e)sh/mana,"e)sh/mane(n), shma=nai",,,,,,
a)poste/llw,w,a)postelw=,,a)pe/steila,,a)pe/stalka,,a)pe/stalmai,"a)pestalme/noi, a)pestalme/nous, a)pestalme/nos",a)pesta/lhn,
marture/w,w,marturh/sw,,e)martu/rhsa,"e)martu/rhse(n), marturh=sai, e)marturh/samen, marturh/sh|, martu/rhson, marturh/sw, marturh/sas, e)martu/rhsan, marturh/santos",memartu/rhka,,memartu/rhmai,memartu/rhtai,e)marturh/qhn,"e)marturh/qhsan, e)marturh/qh, marturhqe/ntes"
o(ra/w,w,o)/yomai,,ei)=don,,e(o/raka,,,,w)/fqhn,
a)naginw/skw,w,,,a)ne/gnwn,"a)nagnw=nai, a)ne/gnwte, a)ne/gnwsan, a)nagno/ntes, a)nagnou/s, a)nagnw=te",,,,,a)negnw/sqhn,"a)nagnwsqh=nai, a)nagnwsqh=|"
a)kou/w,w,a)kou/sw,"a)kou/sousi(n), a)kou/sei, a)kou/sesqe, a)kouso/meqa, a)kou/sontai, a)kou/sh|, a)kou/sete",h)/kousa,,a)kh/koa,,,,h)kou/sqhn,"a)kousqh=|, a)kousqh/setai, h)kou/sqh, a)kousqei=si(n)"
thre/w,w,thrh/sw,,e)th/rhsa,,teth/rhka,,teth/rhmai,"tethrhme/nhn, tethrhme/nois, teth/rhtai",e)thrh/qhn,"thrhqei/h, thrhqh=nai"
gra/fw,w,gra/yw,,e)/graya,,ge/grafa,,ge/grammai,"gegramme/na, gegramme/non, ge/graptai, gegramme/nwn, gegramme/nos, gegramme/noi, gegramme/nas, gegramme/nois, gegramme/nhn",e)gra/fhn,e)gra/fh
ei)mi/,mi,e)/somai,,,,,,,,,
e)/rxomai,w,e)leu/somai,,h)=lqon,,e)lh/luqa,,,,,
a)gapa/w,w,a)gaph/sw,,h)ga/phsa,,h)ga/phka,,h)ga/phmai,"h)gaphme/nhn, h)gaphme/noi, h)gaphme/nw|, h)gaphme/nois",h)gaph/qhn,a)gaphqh/setai
lu/w,w,,,e)/lusa/,,,,le/lumai,"le/lusai, lelume/non, lelume/na",e)lu/qhn,"e)lu/qhsan, luqh=nai, luqh/setai, luqh=|, luqei/shs, e)lu/qh, luqh/sontai"
poie/w,w,poih/sw,,e)poi/hsa,,pepoi/hka,,pepoi/hmai,pepoihme/nwn,,
